,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2500,250,0.0009453969267826163,0.02017414482987301,0.0016680012687115434,0.0016692232520596644
1,2500,100,0.001288448932648559,0.03811627146195305,0.0021900362262943164,0.0021902753464871152
2,10000,10,0.0027878017412048942,0.01963279305366575,0.004722841658421341,0.0047232388949621455
3,10000,50,0.0018565329947726275,0.016195680532959576,0.00319307713001042,0.003191618306108462
4,2500,10,0.0020348486610830855,0.02237721109510882,0.003127537784685707,0.0031297211629438037
5,10000,100,0.0016253897573437377,0.01659593627506727,0.0025977829991013,0.0025837060731265828
6,2500,50,0.0016366765503545862,0.021919958733143632,0.0026818199171103367,0.0026831729158011673
7,10000,250,0.0012518313518310434,0.012020520902182362,0.002054933124800935,0.0020547535660223088
8,500,50,0.0009319002552744073,0.06469768118205331,0.0016045123969197154,0.0016044974990874839
9,500,10,0.0003894206980340146,0.02879733123615199,0.0007166121559405236,0.0007166310067864542
10,1000,100,0.0010227438944696197,0.030906544808675954,0.0017768815859747179,0.001776720031990343
11,1000,25,0.0016161882928774666,0.21823958275123143,0.0027257202531349818,0.0027262994208145934
12,1000,250,0.0011299177206330958,0.023458698270813955,0.0017126395833781318,0.0017145513276764063
13,5000,75,0.0015248952860964081,0.007811478226120041,0.0024277492299682826,0.0024259499983933343
14,10000,25,0.0024435073514432674,0.23139244889008814,0.0043682476996493155,0.004367049808299395
15,500,25,0.0009764951356771112,0.04360622338193074,0.0015543900094833645,0.0015551638981435199
16,2500,75,0.0015084701394098747,0.0286111633378289,0.0026510565152389,0.0026497122471089815
17,5000,250,0.0013211001583513986,0.01310047020646256,0.00229481523281027,0.00229571055100782
18,5000,50,0.0017912840988508394,0.04138058854230412,0.003130542607979706,0.0031305764503983874
19,5000,10,0.002118567249989719,0.02745736363430924,0.0037258200452902905,0.003726062497039121
20,5000,100,0.0014593513092769066,0.02115388553522304,0.0023535388289367613,0.002353167112647763
21,500,75,0.0011904578281741376,0.0536969696950897,0.0019954080687815887,0.0019956118072363385
22,10000,75,0.0014149268852345798,0.03273071260408333,0.0023545983655272125,0.00235549262406614
23,2500,25,0.0023851103434797483,0.3504641123488105,0.004071250217227634,0.004074203814992395
24,5000,25,0.002577534904542845,0.22389215707780225,0.00434770380250112,0.004348784190093252
25,1000,75,0.0008795850379721614,0.0444156607400428,0.001573452340724163,0.001574398742960436
26,1000,50,0.0012598822591063264,0.053649005749257815,0.0021207204703044906,0.0021204353884160102
27,1000,10,0.0003424512891393664,0.02190092286872389,0.0006212661907594227,0.0006220885982642867
28,500,250,0.0009095614672728694,0.026097926161660907,0.0013284994827330277,0.0013238740007730633
29,500,100,0.0009452209038053845,0.0508703676483401,0.0015804956484276153,0.001580615279115293
