,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2500,50,0.00018177378720246108,0.012904513914001657,0.0003082880477517915,0.00030846690664862003
1,10000,100,0.001196079647199797,0.025381296893584093,0.0018756169131742923,0.001872352079842379
2,500,50,0.00017163305312397484,0.008093536991928411,0.00029151550650207813,0.0002916004044402799
3,2500,100,0.0006591667058781267,0.09136637223284504,0.0011789217880165445,0.0011789222196844679
4,5000,25,0.00032758016361437807,0.011300469644075207,0.0004861347024050776,0.0004861778189822598
5,10000,50,0.0013471568643335181,0.04380648520925531,0.002444094932562513,0.002444533733074866
6,10000,25,0.0021962676256608526,0.29514835913950677,0.0038506139069429965,0.003851527607821025
7,5000,50,0.0013444774627872828,0.6002814795096161,0.0022125403713807628,0.0022143047501064603
8,500,250,0.00025685240386219506,0.012296824794668326,0.000417703168998732,0.00041779763621395904
9,5000,250,0.0010497621452991131,0.015118956738505582,0.0015807631016039186,0.0015716091714571155
10,500,10,0.00025641085391599027,0.00830312501337879,0.0004000630667524767,0.00039986004182368046
11,1000,25,0.00014779139546421265,0.007788504575234394,0.00024143361821822048,0.00024142866879777182
12,2500,75,0.0003269170419042105,0.011972629996201535,0.0004913963680918556,0.0004916710429527313
13,2500,10,0.00022283759707562034,0.0158779207856018,0.0003536018022377831,0.00035304717183467355
14,500,75,0.00024177230074330766,0.012320638505895353,0.0003617088167961202,0.000361940682834479
15,10000,250,0.0011886176848083377,0.011737124017825222,0.0018459039640522864,0.0018456455195512542
16,500,100,0.00031269532409221144,0.01087784110082665,0.00048269544340694533,0.00048324088889684536
17,5000,100,0.000843565051707036,0.014172579656447432,0.0014580132909903186,0.0014580201222300026
18,1000,50,0.0002004867889019006,0.010776423609614115,0.00033009480069760643,0.00033032841605107034
19,5000,75,0.0010784571389714777,0.04858927707679565,0.0019013523403314234,0.00189826804141086
20,2500,25,0.00017479799625543373,0.010609079804251098,0.0002959682223522575,0.0002960842445331393
21,5000,10,0.00036597053711453684,0.014983061486226914,0.000561017783112571,0.0005612095857655668
22,1000,10,0.00016434978444955373,0.005692049864344632,0.00027463240573563673,0.0002751039849965223
23,2500,250,0.0005509777496120336,0.018659772627622515,0.0009100025923011302,0.0009105810960829328
24,10000,10,0.0002391439724082666,0.015271089920426362,0.0003786897136234683,0.0003787827939216205
25,1000,250,0.0002683654842279073,0.011692087010549976,0.0004393278824375587,0.00043935530901597296
26,10000,75,0.0013351991357998996,0.03519128859182419,0.0024216735002655413,0.0024219282357643805
27,500,25,0.00011587013526051863,0.006801243571875814,0.00019993084076810538,0.00019981943684648328
28,1000,75,0.00010522979561806361,0.005049979944561167,0.00019990739429048035,0.00019998551920739135
29,1000,100,0.00033092701489613664,0.005039955205415187,0.0005102322816243584,0.0005102576815794652
