,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,5000,50,0.0011911846010590405,0.6864572151134628,0.0020004214633751495,0.0020009381061971312
1,2500,50,0.0,,0.0,0.0
2,2500,10,0.0,,0.0,0.0
3,5000,75,0.0012100016677700067,1.5057337171047538,0.002171774622851577,0.0021703750551791356
4,10000,250,0.0006337240668664384,0.032276568871151816,0.0011228424444654618,0.0011232094431099919
5,5000,250,0.0008631965568824383,0.03159092146426702,0.001410228218009627,0.0014105129838392157
6,15000,100,0.001176066750856856,0.061560701114951544,0.0021894498855564203,0.0021891050833097456
7,15000,25,0.0017195758479222726,0.6446843610609879,0.002757156841352618,0.0027574095592074583
8,15000,250,0.0007778001208792133,0.012945138155849335,0.0012582436046704884,0.0012573034202111328
9,2500,100,6.956256852844895e-05,12.338519959755589,0.000153607634073504,0.0001534461730483174
10,15000,50,0.0016641102889321231,0.927766663428581,0.0028618842374357524,0.002862611924011705
11,5000,25,0.0,,0.0,0.0
12,20000,75,0.001428115675385782,0.03855884163738043,0.002319451050484541,0.0023194683565190897
13,15000,10,0.0,,0.0,0.0
14,10000,100,0.0012388088268650537,0.05043288514580385,0.002080910151638241,0.002079794676467693
15,10000,25,0.0004068402953789838,3.728939051422605,0.0008919503214660153,0.000893241741177753
16,20000,250,0.0011192144110573345,0.019341289677622386,0.001945940524768219,0.0019453786352694017
17,20000,25,0.0020017207849287247,0.2765819732398361,0.0034066190134486,0.003405876402286882
18,10000,75,0.0013342488571176103,0.7104423392174714,0.0025209517739144768,0.0025208816323098195
19,10000,50,0.0015599339828019985,0.8801491718432715,0.0027426295593679082,0.002742676669721248
20,2500,25,0.0,,0.0,0.0
21,2500,250,0.0005518694586925344,0.03540538173784205,0.0009966189068125971,0.0009965585816310108
22,20000,10,0.0,,0.0,0.0
23,5000,100,0.0009637276100233094,0.03235924434026851,0.001600468287956882,0.0016005347436013819
24,10000,10,0.0,,0.0,0.0
25,15000,75,0.0013034986480147163,0.07174648883186356,0.0021946962467628162,0.0021939914549134096
26,20000,50,0.001631548485502177,0.7583126613522928,0.0027013266779231113,0.002677297498681566
27,2500,75,5.00937890373167e-07,,1.1450620914359635e-06,1.0929862755075263e-06
28,20000,100,0.0012621090727363638,0.03186781773360216,0.0020711801874162077,0.002071529996150974
29,5000,10,0.0,,0.0,0.0
