,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2500,10,0.000502684965397339,0.005300302045087263,0.0007511689459650723,0.0007516607690723789
1,1000,10,0.0007233222021361609,0.007464366388970618,0.0009956359050287068,0.0009956476964484426
2,500,250,0.0005967774373789803,0.007367565034507396,0.0008598872464730483,0.0008600188980302746
3,1000,250,0.0009013817925104197,7.354866777394058,0.00148200321512662,0.001482582869018752
4,10000,250,0.0025583975864670837,0.03149120921712128,0.004421485491003326,0.004422622403272894
5,2500,100,0.0021279906918576378,1.5339476729498212,0.0032176646037231373,0.003216870491944565
6,10000,25,0.005747990595582449,0.49381815127057566,0.010742288849765507,0.010733328488098395
7,1000,100,0.00040557156493812706,0.009877816941483803,0.0006411387732942036,0.0006406109960877126
8,1000,50,0.0006159374897973854,0.01678684458903683,0.0009673235085207761,0.00096816197181048
9,10000,75,0.0035816094941925527,1.1646197273056116,0.005724969789009903,0.0057230824314422725
10,500,50,0.0006318166688855335,0.005566213887779671,0.000897712612569173,0.0008985220944474818
11,2500,50,0.0003010023001558599,0.010004180374823833,0.00048698680480060156,0.00048670585321788944
12,500,75,0.0007702877087609845,0.0172093661844472,0.0011423618861567295,0.0011448024871669577
13,10000,10,0.0007904940783688371,0.011889785916000867,0.0012558117612877394,0.0012534051700787382
14,500,25,0.0007055286865674516,0.013568683513253929,0.001073687835694342,0.001072864551797495
15,1000,25,0.0006477834584592776,0.009407254731832666,0.0008968277613236839,0.000896199872722491
16,5000,10,0.0001854406665392098,0.012538525941875486,0.00034737124201852693,0.0003471228799390269
17,2500,250,0.0015148854750742155,0.07600386367630936,0.002486070781468455,0.0024863819444840268
18,1000,75,0.0006653209432592774,0.012307058685182767,0.0011130300119297693,0.001112797297922565
19,10000,50,0.004263033842462436,0.6091735905062404,0.008059794998610056,0.008061529838505572
20,500,10,0.0007124031636865114,0.006117332624588857,0.0010090898795457296,0.0010099072504461861
21,10000,100,0.0030299395904398166,0.699865287172744,0.005839182808015851,0.0058390318493280234
22,5000,250,0.0018205216513038347,0.038339444946327586,0.0030199066925660854,0.0030196747783117245
23,2500,25,0.00015582744879825652,0.013183705005840485,0.00031316950413549704,0.0003014918298143703
24,2500,75,0.00227416323314935,1.3296065670944814,0.0036974430866600805,0.0036965165459024903
25,5000,100,0.0026226321663130117,1.4078991825544742,0.004536301039030931,0.004534813030734773
26,500,100,0.0005783454176688586,0.007864456053866365,0.0008922071964381383,0.000884770587437778
27,5000,25,0.0006544628945565019,0.011262826221698836,0.001071739842131254,0.0010717401622484508
28,5000,75,0.002877529395502195,1.52380050093368,0.004457463205594675,0.00445512584147082
29,5000,50,0.0036802693739500167,0.7753306876649214,0.0062729269364186725,0.006272829736533017
