,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,5000,100,0.0025007452893591425,5.300311724658887,0.14814180482144546,0.006870143149816759,0.006878570913287286
1,1000,100,0.0008215222014151065,0.4258838182847199,0.005868078448465197,0.00224466784654028,0.002241531624102634
2,500,250,0.0006286375485227599,0.44569052401195075,0.02391635478758419,0.0017777097835708648,0.0017714787417312894
3,5000,75,0.003123447595175779,5.695300545754062,0.13386599512778782,0.008280569021485797,0.008281273062094625
4,10000,250,0.0023210582529397585,0.6433753433687502,0.16116318696986273,0.006494944904451388,0.006495625367818243
5,10000,50,0.004263205950787114,4.813769429994915,0.22380087266392873,0.011043699427445736,0.011033610084767855
6,500,100,0.0005322742217991566,0.435921228724866,0.021609530464275942,0.00167166900522551,0.00167166900522551
7,2500,250,0.001486217539007297,0.7642747672181042,0.15512157230097376,0.004094919604267046,0.004086042623294725
8,10000,75,0.003360050015285002,4.699861974823046,0.1913946390625345,0.008804216488187725,0.008805310216734927
9,5000,50,0.0037487171290905685,5.495365053581269,0.23226270104382132,0.010274160824978982,0.010273881977054308
10,2500,25,0.0006710841123192729,0.4227844605323183,0.025399287017305358,0.0019521265959365568,0.0019507028507983835
11,2500,50,0.0008030174804759647,0.43364553323120525,0.004348794592707262,0.002313258714793225,0.0023129526458649445
12,500,75,0.0005416793780636978,0.42289785504826377,0.004589930338562977,0.0016364641601794086,0.0016346295092949565
13,5000,250,0.001722312172694791,0.6970563537223466,0.2173107631192613,0.004860182015616576,0.004860384249944762
14,1000,25,0.0004930379781196865,0.42234020125819444,0.0033543265552405696,0.0014744708641096554,0.0014700301006192878
15,500,50,0.0004711249944374316,0.4355795940079735,0.008074738322429302,0.0014493929052760207,0.001448118292449568
16,10000,25,0.006366942339356519,3.1464649584971265,0.09603788071347102,0.01696425016287663,0.016962085020292863
17,5000,25,0.0008315592783075306,0.4284607347608797,0.05430684941804692,0.0023220749274037913,0.002322289532510036
18,500,10,0.0004601677677080275,0.42221879759998737,0.007198997062122236,0.0014354842184202913,0.001432225523745965
19,2500,75,0.0022548224269071304,10.578167374879664,0.14720198681778074,0.006599352582766752,0.006593840832728509
20,2500,100,0.0022728577140057314,10.042795508279529,0.08939689062652519,0.00633917323373631,0.006334965479648497
21,500,25,0.00050202397537733,0.4241583273512094,0.008639794362643546,0.001549325969937234,0.0015447389085066448
22,5000,10,0.0005475210208103631,0.4146535751347037,0.005478495308633898,0.0014480853623358605,0.0014478119771180274
23,10000,10,0.0007604371317617142,0.42273057208568243,0.004452159576613331,0.0022671284312887332,0.002266998781681348
24,1000,75,0.0005314658088537914,0.4276696031518809,0.00814790232658887,0.0017292463120881269,0.0017250951012972846
25,1000,10,0.000513887424993102,0.43121138914545865,0.009214488252427535,0.0016357575278032265,0.0016333926859231035
26,1000,50,0.00047681299020468855,0.42653596397907323,0.008495529657496616,0.0014229744936060027,0.001419092270803371
27,2500,10,0.0008825939773973097,0.42274051131535184,0.004878947992135219,0.002436653883471207,0.0024348557030660083
28,1000,250,0.0007939351317771366,7.1594571662687745,0.05267652282659775,0.0021867894147012544,0.0021878041591412906
29,10000,100,0.0031773459054428013,2.252884996545646,0.20361287042756238,0.009053091516822584,0.00903947915752405
