,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,1000,500,5.384228727648422e-05,30.983322558612173,0.013242710535492223,5.384228727648422e-05,
1,5000,50,0.004056746059818251,5.410207429550791,0.10539748162865165,0.004056746059818251,
2,3000,10,0.0,,0.0,0.0,
3,2000,50,0.0,,0.0,0.0,
4,750,250,5.275487541326948e-05,45.10241631698663,0.002042450753720194,5.275487541326948e-05,
5,1000,50,0.0,,0.0,0.0,
6,1000,100,5.42386984920982e-07,51.61820695610277,0.00023757885168924285,5.42386984920982e-07,
7,500,10,0.0,,0.0,0.0,
8,2000,10,0.0,,0.0,0.0,
9,5000,1000,0.0010969240554123013,0.5165093558810646,0.10211359538313455,0.0010969240554123013,
10,1000,10,0.0,,0.0,0.0,
11,500,50,0.0,,0.0,0.0,
12,3000,1000,0.000704179537468383,0.5491229692010352,0.0394600512276656,0.000704179537468383,
13,3000,100,0.0020731330520957943,11.57924026857927,0.10011446341331488,0.0020731330520957943,
14,750,100,6.893363556390092e-08,,3.439788414638656e-05,6.893363556390092e-08,
15,500,1000,3.670186855953828e-05,56.43548247290297,0.0016807142220978258,3.670186855953828e-05,
16,1000,250,4.5921534855573164e-05,44.29131491568087,0.007450916029608585,4.5921534855573164e-05,
17,5000,100,0.0025091683776570246,7.4758368206076105,0.055637143284779894,0.0025091683776570246,
18,500,500,5.750123144163769e-05,60.75019768428881,0.0024244235418293294,5.750123144163769e-05,
19,500,250,1.1688376288321205e-05,65.81733763621143,0.0009619063323082398,1.1688376288321205e-05,
20,2000,500,0.0015969764419214117,0.5889495867161092,0.08981683528381382,0.0015969764419214117,
21,2000,250,0.0012805680338391983,12.672148102278,0.09658527905148169,0.0012805680338391983,
22,1000,750,0.00032513236926893786,0.5350174643749055,0.013217642193687583,0.00032513236926893786,
23,750,1000,0.00030241272190816715,0.4895404867354299,0.013685079734550982,0.00030241272190816715,
24,3000,250,0.0013912171406292196,0.9373892155467239,0.06819467765523651,0.0013912171406292196,
25,2000,750,0.0014147559536917455,0.5887629062184825,0.07936551930422664,0.0014147559536917455,
26,500,750,2.586691770277021e-05,51.56679551657848,0.00119777076473048,2.586691770277021e-05,
27,4000,500,0.0009290722095701117,0.6351319320316778,0.1184331984049641,0.0009290722095701117,
28,5000,500,0.0019805848760195343,0.5744639733762631,0.08114625324205126,0.0019805848760195343,
29,5000,250,0.0017409458125461391,0.8278928544484824,0.05538238113476253,0.0017409458125461391,
30,4000,1000,0.0006322532395869022,0.5802827734576549,0.061065683160500366,0.0006322532395869022,
31,3000,750,0.0020823321748507017,0.539192980140555,0.014494105910180428,0.0020823321748507017,
32,2000,100,6.628046109248477e-05,22.309334709512868,0.016639278953978192,6.628046109248477e-05,
33,500,100,0.0,,0.0,0.0,
34,4000,100,0.002602827324676413,7.71517541487599,0.06811228075646332,0.002602827324676413,
35,750,10,0.0,,0.0,0.0,
36,3000,500,0.0009248514358096705,0.6503842836721587,0.015982730038086704,0.0009248514358096705,
37,5000,750,0.002375850432780794,0.5144056196188648,0.10514348275605773,0.002375850432780794,
38,4000,50,0.0035434763705459267,6.701769347790584,0.04617080621431836,0.0035434763705459267,
39,750,750,4.368920653195674e-05,0.4901881285546841,0.0020229868487346143,4.368920653195674e-05,
40,750,50,0.0,,0.0,0.0,
41,4000,750,0.0014641454631433523,0.5380691012313588,0.049322539158416036,0.0014641454631433523,
42,4000,10,0.0,,0.0,0.0,
43,2000,1000,0.0012180225572396492,0.5216071669439643,0.0625035722935506,0.0012180225572396492,
44,750,500,2.7374930177199614e-05,54.79074751650192,0.0017479564696856078,2.7374930177199614e-05,
45,3000,50,4.599024737466192e-05,16.206331964308333,0.018216071399167155,4.599024737466192e-05,
46,4000,250,0.0016627639731939135,0.8255108917601574,0.05580994642557742,0.0016627639731939135,
47,5000,10,0.0,,0.0,0.0,
48,1000,1000,0.0004253471136662492,0.5709657563910162,0.09044467151465954,0.0004253471136662492,
