,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,2000,100,0.00015250718551559626,0.4596831654881095,0.03148945541754797,0.00015250718551559626,
1,1000,1000,0.000558395125717485,0.6677862807733477,0.08087705967222415,0.000558395125717485,
2,2000,500,0.0010734491597386478,0.6047873901818401,0.09393790229286575,0.0010734491597386478,
3,750,750,0.00042716976177935615,0.553225857826887,0.053476615081746705,0.00042716976177935615,
4,500,250,0.00047982127244256613,0.4449922329737468,0.0030845804050196523,0.00047982127244256613,
5,3000,500,0.0014525518019230213,0.6266899589235051,0.10491704466720518,0.0014525518019230213,
6,2000,50,0.00013611980630406505,0.4604711133213845,0.000995265303235721,0.00013611980630406505,
7,4000,1000,0.0017672555104671559,0.4977352400857862,0.03328883414745938,0.0017672555104671559,
8,1000,750,0.0008482724777915034,0.6121981450269335,0.07577919983888068,0.0008482724777915034,
9,1000,100,9.542680406073205e-05,0.459662169677749,0.000635795341595414,9.542680406073205e-05,
10,4000,250,0.0014530423115658663,0.8056255745518925,0.0976262740333185,0.0014530423115658663,
11,3000,750,0.0009284874365734051,0.5744923947194355,0.06251445802299324,0.0009284874365734051,
12,2000,10,0.00010347732248114572,0.44454722842736016,0.0004439252432444807,0.00010347732248114572,
13,3000,10,0.00010072758321868504,0.44184934385932084,0.0007258254437391012,0.00010072758321868504,
14,750,10,0.0005222164805955766,0.47863242999678884,0.0008401506674004238,0.0005222164805955766,
15,2000,250,0.001689289574254473,8.117947137999138,0.12115884439408828,0.001689289574254473,
16,750,1000,0.0006148847936367271,0.5737331972114046,0.0632706633473229,0.0006148847936367271,
17,750,250,0.0004951743180064437,0.4401119358341507,0.0019097012951905343,0.0004951743180064437,
18,500,100,0.00010791845478304916,0.4499006344318367,0.0007932626126372201,0.00010791845478304916,
19,5000,250,0.001972038543772763,0.8654784476420702,0.03595818044589781,0.001972038543772763,
20,1000,250,0.00011930928495680782,0.474566689960426,0.008501166108223577,0.00011930928495680782,
21,5000,10,0.0003914312305804421,0.49716098925854735,0.0008171905429190867,0.0003914312305804421,
22,5000,500,0.00184614099822167,0.6137287809132834,0.04638533287243318,0.00184614099822167,
23,750,500,0.0001571497912322351,0.4333068366197877,0.020636531313438268,0.0001571497912322351,
24,3000,50,0.00011311898665846313,0.46306818008070094,0.0017811936257217727,0.00011311898665846313,
25,750,50,9.218150291226464e-05,0.4686035487422658,0.0006726914499350698,9.218150291226464e-05,
26,4000,100,0.00258246708580545,9.320109839848882,0.07919682352709642,0.00258246708580545,
27,500,10,0.00035285204858119453,0.47940025514918094,0.001798682530134911,0.00035285204858119453,
28,3000,1000,0.002187150220511662,0.5084359164783463,0.07251581845648737,0.002187150220511662,
29,4000,750,0.0010681393861604871,0.5282705460477977,0.04531109639514981,0.0010681393861604871,
30,2000,1000,0.0007230025930813837,0.54861194191021,0.10462832637183735,0.0007230025930813837,
31,4000,10,0.0004278783951486487,0.4584486647196077,0.0019793170611143544,0.0004278783951486487,
32,500,750,0.00018128093848913122,0.4529658186159048,0.004122728272050861,0.00018128093848913122,
33,1000,50,0.0001619359783444744,0.4354304938483212,0.0008361246554090737,0.0001619359783444744,
34,750,100,0.0004577678320726321,0.4565084497522325,0.0007204319010606718,0.0004577678320726321,
35,4000,500,0.0020230334087989956,0.5521211002686175,0.10315543600652374,0.0020230334087989956,
36,5000,50,0.003271873614030228,8.206618267820552,0.0778007787148713,0.003271873614030228,
37,2000,750,0.0011433003941396403,0.5638882579285815,0.09676957796083294,0.0011433003941396403,
38,500,1000,0.0005649388079728772,0.48125923289031425,0.0756217307358471,0.0005649388079728772,
39,5000,100,0.0027792697187913524,6.809921453235602,0.08236229219338692,0.0027792697187913524,
40,5000,750,0.00256730875996137,0.5198953697716976,0.06403005849204961,0.00256730875996137,
41,500,50,0.00040873404770229893,0.48620758514987933,0.006044989488593981,0.00040873404770229893,
42,3000,250,0.0017826471771952065,0.9456061634020759,0.12039972491042071,0.0017826471771952065,
43,5000,1000,0.001108692954591009,0.5304294346719624,0.05156471927274005,0.001108692954591009,
44,500,500,0.0001373957609480384,0.44194993456410386,0.0030151157683642876,0.0001373957609480384,
45,1000,500,0.0005293827351951899,0.47395553501814164,0.08291355292682179,0.0005293827351951899,
46,4000,50,0.0005784149799846729,0.5251632759233646,0.06945728238253909,0.0005784149799846729,
47,1000,10,9.793323918586045e-05,0.46019504737254135,0.0011150839852324744,9.793323918586045e-05,
48,3000,100,0.0021970530392854235,9.266950326232335,0.07322243547944404,0.0021970530392854235,
