,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2000,100,0.00021424209430603996,0.0,0.00021424209430603996,
1,1000,1000,0.000760325458288936,0.0,0.000760325458288936,
2,2000,500,0.0009772905649742313,0.0,0.0009772905649742313,
3,750,750,0.0007290617030021811,0.0,0.0007290617030021811,
4,500,250,0.0003860581882293421,0.0,0.0003860581882293421,
5,3000,500,0.001405066940545541,0.0,0.001405066940545541,
6,2000,50,0.0001632814001707097,0.0,0.0001632814001707097,
7,4000,1000,0.0015868811061938053,0.0,0.0015868811061938053,
8,1000,750,0.0009180239335742648,0.0,0.0009180239335742648,
9,1000,100,4.565710279389445e-05,0.0,4.565710279389445e-05,
10,4000,250,0.0017130019915521549,0.0,0.0017130019915521549,
11,3000,750,0.0009557370389095437,0.0,0.0009557370389095437,
12,2000,10,5.6030945531550656e-05,0.0,5.6030945531550656e-05,
13,3000,10,5.086920168496802e-05,0.0,5.086920168496802e-05,
14,750,10,0.0003608548387105644,0.0,0.0003608548387105644,
15,2000,250,0.0016346618586722506,0.0,0.0016346618586722506,
16,750,1000,0.000775521197967066,0.0,0.000775521197967066,
17,750,250,0.00038392116473813184,0.0,0.00038392116473813184,
18,500,100,0.00010483525419957798,0.0,0.00010483525419957798,
19,5000,250,0.0021236982936425172,0.0,0.0021236982936425172,
20,1000,250,8.835746296406936e-05,0.0,8.835746296406936e-05,
21,5000,10,0.00028568686001350675,0.0,0.00028568686001350675,
22,5000,500,0.0019101181237015617,0.0,0.0019101181237015617,
23,750,500,0.00010439930448058853,0.0,0.00010439930448058853,
24,3000,50,7.601157103270032e-05,0.0,7.601157103270032e-05,
25,750,50,4.6718051866098244e-05,0.0,4.6718051866098244e-05,
26,4000,100,0.0028041430420190664,0.0,0.0028041430420190664,
27,500,10,0.0002535611569075163,0.0,0.0002535611569075163,
28,3000,1000,0.0018627759260201992,0.0,0.0018627759260201992,
29,4000,750,0.0009247241653950938,0.0,0.0009247241653950938,
30,2000,1000,0.0007428558122055452,0.0,0.0007428558122055452,
31,4000,10,0.00030746459493072667,0.0,0.00030746459493072667,
32,500,750,0.00023259131106639517,0.0,0.00023259131106639517,
33,1000,50,0.00015695525554003351,0.0,0.00015695525554003351,
34,750,100,0.00034900872156597764,0.0,0.00034900872156597764,
35,4000,500,0.0018470651812366491,0.0,0.0018470651812366491,
36,5000,50,0.0037210396138034883,0.0,0.0037210396138034883,
37,2000,750,0.0011905528990939973,0.0,0.0011905528990939973,
38,500,1000,0.00047480000774087635,0.0,0.00047480000774087635,
39,5000,100,0.0025856805725949917,0.0,0.0025856805725949917,
40,5000,750,0.0023948388785405453,0.0,0.0023948388785405453,
41,500,50,0.0003144301206218078,0.0,0.0003144301206218078,
42,3000,250,0.001853069053801845,0.0,0.001853069053801845,
43,5000,1000,0.001010862132219304,0.0,0.001010862132219304,
44,500,500,0.00015239347236407932,0.0,0.00015239347236407932,
45,1000,500,0.0005998255328768876,0.0,0.0005998255328768876,
46,4000,50,0.0006788375749174199,0.0,0.0006788375749174199,
47,1000,10,5.2338598385031405e-05,0.0,5.2338598385031405e-05,
48,3000,100,0.002331827726555212,0.0,0.002331827726555212,
