,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,500,10,0.0,,0.0,
1,5000,750,0.0,,0.0,
2,5000,1000,0.0,,0.0,
3,500,50,0.0,,0.0,
4,4000,10,0.0,,0.0,
5,3000,750,0.0,,0.0,
6,2000,10,0.0,,0.0,
7,750,250,0.0,,0.0,
8,2000,100,0.0,,0.0,
9,1000,250,0.0,,0.0,
10,3000,1000,0.0,,0.0,
11,3000,50,0.0,,0.0,
12,3000,500,0.0,,0.0,
13,500,250,0.0,,0.0,
14,1000,50,0.0,,0.0,
15,4000,100,0.0,,0.0,
16,5000,50,0.0,,0.0,
17,1000,750,0.0,,0.0,
18,750,500,0.0,,0.0,
19,500,750,0.0,,0.0,
20,2000,500,0.0,,0.0,
21,4000,1000,0.0,,0.0,
22,750,10,0.0,,0.0,
23,750,750,0.0,,0.0,
24,3000,100,0.0,,0.0,
25,3000,10,0.0,,0.0,
26,2000,50,1.4471856376151847e-05,0.0,1.4471856376151847e-05,
27,2000,1000,0.0,,0.0,
28,4000,500,0.0,,0.0,
29,750,50,0.0,,0.0,
30,5000,100,0.0,,0.0,
31,5000,500,0.0,,0.0,
32,2000,750,0.0,,0.0,
33,4000,750,0.0,,0.0,
34,1000,500,0.0,,0.0,
35,5000,250,0.0,,0.0,
36,750,1000,0.0,,0.0,
37,4000,250,0.0,,0.0,
38,1000,1000,0.0,,0.0,
39,3000,250,0.0,,0.0,
40,500,500,0.0,,0.0,
41,500,100,0.0,,0.0,
42,1000,10,0.0,,0.0,
43,500,1000,0.0,,0.0,
44,1000,100,0.0,,0.0,
45,2000,250,0.0,,0.0,
46,4000,50,0.0,,0.0,
47,750,100,0.0,,0.0,
48,5000,10,0.0,,0.0,
