,Lambda,Max_act,iter,speed,speed_std,persistance,std_persit
0,2000.0,60.0,0,4.727128382397261,3.7970944179410755,2.5551808366047584,9.595585009027818
1,2000.0,60.0,1,4.725082731541213,3.7919569557364095,2.4005441102233513,8.827961484654454
2,1200.0,60.0,0,3.8228517332115146,2.213219429644422,2.5663394558464123,8.40688962230694
3,1200.0,60.0,1,3.821325055916727,2.2406872593491998,2.555241123561292,8.812132112109088
4,2000.0,80.0,0,4.047108210861812,3.3705524867727275,2.51039909730156,8.565937387737787
5,2000.0,80.0,1,4.034336014747259,3.345748128137453,2.4564567053351976,8.822749360203556
6,1600.0,40.0,0,5.13983323896739,3.032501083081295,2.3781163187762595,8.837132918100677
7,1600.0,40.0,1,5.136658059047321,3.026868213065382,2.3009166889034898,8.83398057200711
8,1200.0,80.0,0,3.2991509747932857,2.0636947348379415,2.9627563855004935,8.954908787021557
9,1200.0,80.0,1,3.3023178510137887,2.1268838397830647,2.858563324609646,9.054846565136547
10,400.0,50.0,0,1.3077063958862825,1.347363447179569,1.5444812102241947,8.908654559386616
11,400.0,50.0,1,1.2889249087052037,1.3408008064364476,1.6840034292047117,9.669918867363053
12,800.0,90.0,0,2.6923628842969345,1.3692487168828613,3.058014916797829,8.587609074986814
13,800.0,90.0,1,2.679517073775804,1.3199795346310645,2.997372655669815,8.789013827322615
14,1600.0,10.0,0,0.6909365891378664,1.2928505750071966,1.2112897362007242,8.933951768214607
15,1600.0,10.0,1,0.6709066388961687,1.256938854217299,1.2093201487387106,8.92749164146596
16,2000.0,40.0,0,5.728048963250711,4.007305017693,2.0852247771856933,8.4447804595294
17,2000.0,40.0,1,5.719676341541364,3.9879827996386714,2.181999142032408,8.845541343163589
18,1600.0,80.0,0,3.687274477816113,2.821286567952043,2.5545545924963284,8.82048803850314
19,1600.0,80.0,1,3.6919509248260582,2.8173725855506273,2.9616131303903863,9.673447027762325
20,800.0,50.0,0,3.414762368231321,1.465407418299954,2.4930412967191775,8.419170502120112
21,800.0,50.0,1,3.407039787821995,1.4559405984784344,2.614393740705657,8.818003629672234
22,400.0,20.0,0,0.3981632340321148,0.6925059967078804,1.2050289568532306,8.934511416914642
23,400.0,20.0,1,0.3905405010840667,0.6130583080525491,1.2032588766840462,8.92803490789904
24,2000.0,70.0,0,4.363168870022131,3.605774214052452,2.4229863734843464,8.420343320632242
25,2000.0,70.0,1,4.342168305803775,3.568954969829267,2.4067760359950148,8.826703636589837
26,1200.0,50.0,0,4.134727121359707,2.0980036623364953,2.6595052410018116,9.206993099701936
