,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
0,0,1,GM,-106.74536620055784,-15.036010987852606,98.75715247692396,[-269.97857143   37.89285714 -269.42857143],[-270.54676259   37.84892086 -268.73381295],[-269.26119403   36.99253731 -267.7761194 ],1360
1,1,1,GM,-9.49452075424513,38.894032381127566,152.37976115313523,[-123.40540541  148.10810811   -8.68243243],[-122.67123288  151.84931507   -7.00684932],[-123.02797203  155.95104895   -6.74825175],1360
2,2,1,GM,-22.86832499136139,-36.906295289556034,19.58855717912278,[ -76.94482759  -47.32413793 -102.85517241],[ -72.96598639  -45.63945578 -104.6462585 ],[ -68.69127517  -47.46308725 -108.09395973],1360
3,3,1,GM,55.3576472686381,-123.01852158121811,-27.02504848810964,[-57.88888889   2.63888889 -24.20833333],[-60.31724138   2.86896552 -21.33103448],[-61.68309859   0.50704225 -16.78873239],1360
4,4,1,GM,344.9981523453132,-159.62023149114088,208.29558217963975,[-185.1037037    88.8962963   -60.37037037],[-184.88188976   87.92125984  -60.33070866],[-184.6796875   86.453125   -59.8125   ],1360
5,5,1,GM,364.47640041729,-91.65295627655881,161.69352461091563,[-30.66216216 -40.49324324 -99.63513514],[ -30.89855072  -39.49275362 -102.8115942 ],[ -35.21568627  -38.29411765 -101.32026144],1360
6,6,1,GM,461.85480417558534,58.35274807119266,192.2231574934718,[-166.13422819  -73.03355705  -56.93288591],[-168.97777778  -74.25925926  -59.4       ],[-171.12030075  -75.4962406   -61.73684211],1360
7,7,1,GM,367.83620919947793,136.3885585851292,320.43180325605476,[-194.32885906  -44.71743518   -1.49331756],[-197.63513514  -44.93243243   -4.60135135],[-199.46621622  -44.32432432   -9.30405405],1360
8,8,1,GM,544.1004950234019,74.98126861607787,266.2269715311575,[-134.80821918   12.08219178 -228.45890411],[-134.95774648    8.4084507  -231.00704225],[-134.6462585     4.9047619  -232.40816327],1360
9,9,1,GM,660.8320598920369,238.37290782216138,329.4385577191481,[-147.67549669  -45.94701987  -21.32450331],[-151.29333333  -43.53333333  -23.24      ],[-154.86754967  -46.59602649  -23.60927152],1360
10,10,1,GM,826.549942656311,316.7673068634175,262.43662802193467,[-158.03311258   39.27152318   41.25827815],[-156.72932331   36.54887218   39.33082707],[-156.40277778   32.92361111   43.48611111],1360
11,11,1,GM,932.7228331730335,409.7646606648341,221.95313703383758,[-127.84005369  193.96551724 -302.52882327],[-123.85234899  193.19463087 -298.12751678],[-119.68918919  192.40540541 -295.88513514],1360
12,12,1,GM,844.2492570250371,385.5048452429856,122.297543337674,[-281.54477612  -57.98507463 -102.44776119],[-281.56390977  -58.44360902 -102.12030075],[-281.71111111  -58.11111111 -102.08888889],1360
13,13,1,GM,939.4026013729301,583.1999232926626,282.8893224488249,[-133.3986014    71.75524476 -232.62237762],[-130.81118881   67.8951049  -231.09090909],[-128.09000261   64.32214765 -229.59482937],1360
14,14,1,GM,870.2797022376467,635.5708221541793,342.8742555903742,[-45.76258993  36.09352518   9.76258993],[-50.00649351  32.81168831   6.7987013 ],[-51.97183099  32.45070423   5.15492958],1360
15,15,1,GM,1002.1829945122685,625.2433074734198,306.5010560703263,[-104.42424242   17.61363636  -36.77272727],[-105.72666667   16.96        -34.00666667],[-105.41428571   16.17857143  -30.63571429],1360
16,16,1,GM,1228.7040020248457,624.5221462081042,510.44448204013383,[ -89.16551724  -57.62758621 -249.4137931 ],[ -84.32191781  -55.53424658 -251.0890411 ],[ -80.30612245  -53.36054422 -248.3877551 ],1360
17,17,1,GM,1189.543551403879,512.0339709972965,534.0719261058243,[-314.85314685  119.61538462  -93.13986014],[-315.32867133  116.74825175  -88.02097902],[-314.19565217  119.52898551  -87.48550725],1360
18,18,1,GM,1003.481414212417,647.0522632047534,388.1712084396612,[-232.48965517   66.84137931 -215.20689655],[-229.26027397   66.51369863 -211.93835616],[-224.86486486   64.81756757 -211.57432432],1360
19,19,1,GM,1249.1780569282153,649.6101413279888,520.9412876177167,[-121.44055944   62.77622378  -17.31468531],[-125.13422819   63.65100671  -15.7852349 ],[-130.37837838   62.35342942  -14.1017342 ],1360
20,20,1,GM,1321.6693893464853,634.7758383797278,413.6170346448571,[ -63.78378378   47.02702703 -105.39864865],[ -62.69387755   42.43537415 -106.78231293],[ -64.54304636   41.49006623 -111.64238411],1360
21,21,1,GM,1344.366170220268,576.3100367777713,492.86153963465404,[-228.64137931  -22.11724138  -67.72413793],[-229.68531469  -24.47552448  -64.87412587],[-226.7972973   -27.41216216  -62.52702703],1360
22,22,1,GM,1439.813195550722,612.6118090830056,553.4475191320264,[-193.40526095  -89.92124456  -66.32885906],[-195.6         -89.27857143  -69.85      ],[-199.3358209   -90.79104478  -71.46268657],1360
23,23,1,GM,1468.6716381666888,452.2834320876917,734.3639596506337,[-126.72972973  -18.50675676  -12.97972973],[-130.09285714  -14.79285714  -13.17142857],[-133.0070922   -12.55319149   -9.96453901],1360
24,24,1,GM,1557.5404343003456,695.8594281508048,556.8592607427461,[-73.12592593 -24.05925926  45.24444444],[-74.03787879 -24.87121212  44.74242424],[-77.74666667 -23.2         40.58666667],1360
25,25,1,GM,1597.3388758907486,621.53374811922,571.1234406698973,[-215.10958904  -43.73287671   75.49315068],[-213.48550725  -41.5942029    76.12318841],[-210.98039216  -46.06535948   78.90196078],1360
26,26,1,GM,1476.205448973034,690.6598303984937,632.1160223897707,[-117.10204082   40.19047619  -58.34693878],[-112.79470199   40.01324503  -57.25827815],[-109.04697987   39.22147651  -57.2885906 ],1360
27,27,1,GM,1414.3447653668982,765.040307563408,645.7756940301084,[-165.45138889   90.09027778 -167.79861111],[-164.51408451   89.69014085 -171.14084507],[-163.94         93.50666667 -173.28666667],1360
28,28,1,GM,1360.8166233574213,602.8194662829022,759.2512596632254,[-118.42142857  -88.89285714  -65.28571429],[-116.03947368  -90.93421053  -60.38157895],[-113.38194444  -92.13888889  -57.09027778],1360
29,29,1,GM,1318.5891015981645,500.98102238430454,679.2498362975091,[ -13.99305556  103.6875     -117.18055556],[ -17.60810811  108.26351351 -116.31756757],[ -17.27464789  112.50704225 -114.16901408],1360
30,30,1,GM,1362.8088069733126,457.12370725618484,785.4759731989384,[ -34.2585034   -41.55782313 -153.80272109],[ -35.8         -37.6137931  -150.94482759],[ -31.43537415  -37.4829932  -146.97959184],1360
31,31,1,GM,1248.483824628081,549.6588775439415,984.3647332570745,[-141.86        -29.36666667 -165.31333333],[-141.00735294  -28.28676471 -166.50735294],[-138.83941606  -30.00729927 -167.89781022],1360
32,32,1,GM,1307.1292199506315,686.1789009697588,804.7959502676129,[-231.27333333   36.24666667 -163.00666667],[-230.35211268   39.03521127 -162.66197183],[-229.8359375   41.625     -160.4921875],1360
33,33,1,GM,1448.9875794549828,706.5493273394065,905.5033514503314,[-266.25974026  142.46103896  -91.43506494],[-263.42580645  145.36129032  -94.73548387],[-261.47096774  142.66451613  -99.70322581],1360
34,34,1,GM,1468.0174666102703,544.5791652422076,940.2835817677037,[-314.51369863  123.76027397 -141.1369863 ],[-314.8705036   126.05035971 -137.74820144],[-314.17105263  130.24342105 -133.91447368],1360
35,35,1,GM,1462.4556590590093,518.7268572918287,809.46319284645,[-190.15862069 -171.57923256 -190.06994037],[-192.68984185 -173.52239585 -194.26845638],[-195.15646259 -175.59183673 -196.80272109],1360
36,36,1,GM,1563.200154625818,373.7272712532713,1155.0339964374796,[-245.82269504   13.65248227  -96.85815603],[-246.63235294   12.28676471  -95.14705882],[-246.85820896   12.94776119  -94.59701493],1360
37,37,1,GM,1328.4060488240325,391.1209410056898,916.8242945872305,[-126.41984733  -85.09923664  -98.20610687],[-130.4084507   -85.09859155  -97.11267606],[-129.54109589  -84.86986301  -92.11643836],1360
38,38,1,GM,1363.4940770568846,377.7410962634775,912.7588493762897,[-262.61428571   43.65       -191.85714286],[-262.04697987   48.43624161 -191.89932886],[-262.32167832   49.95804196 -196.90909091],1360
39,39,1,GM,1518.839929601016,295.4229340831704,1060.7197971793123,[-187.78911565   70.03401361 -118.92517007],[-183.79310345   69.55172414 -116.44137931],[-182.8041958    68.88111888 -112.67132867],1360
40,40,1,GM,1512.324908626233,471.6357290746969,1191.1080749031169,[-161.73134328  -11.34328358 -239.1641791 ],[-160.58088235   -8.02941176 -238.60294118],[-158.58503401   -9.59863946 -233.74829932],1360
41,41,1,GM,1436.353237899727,379.80948197047,1105.4222770981091,[-202.55882353   -5.49264706  -37.44852941],[-202.85314685   -6.65034965  -34.34265734],[-204.95035461  -10.19148936  -32.94326241],1360
42,42,1,GM,1430.5077617895092,362.46410709914494,1196.2137842088782,[-129.74482759 -140.49655172  -61.27586207],[-133.04895105 -137.86713287  -59.58041958],[-135.16546763 -136.8705036   -57.78417266],1360
43,43,1,GM,1567.5571195517969,235.60654581687973,923.788354078077,[ -80.93150685   37.54109589 -224.74657534],[ -81.85294118   39.77205882 -223.56617647],[ -87.55882353   38.75       -224.30147059],1360
44,44,1,GM,1472.0485820000335,201.1087337139823,1115.565639241458,[-166.67142857   46.61428571  -10.82857143],[-170.20979021   48.5034965    -7.98601399],[-172.97080292   49.62043796   -9.24817518],1360
45,45,1,GM,1387.857298869449,257.29653753241865,1021.3637908683543,[-290.30215827    3.0647482  -224.46043165],[-292.6971831     0.38028169 -224.3028169 ],[-2.94388889e+02 -1.59722222e-01 -2.19972222e+02],1360
46,46,1,GM,1514.9475785739867,136.74483259968525,1009.648909905585,[ -91.45        162.72857143 -113.62857143],[ -95.28873239  166.30985915 -113.08450704],[ -98.45588235  167.22794118 -111.88970588],1360
47,47,1,GM,1559.2767402442792,183.48089308760535,1171.8736489380592,[ -82.56521739 -120.96376812 -230.        ],[ -84.28676471 -123.09558824 -228.05882353],[ -85.45890411 -124.81506849 -234.4109589 ],1360
48,48,1,GM,1497.3031669182383,380.4442401484672,1208.1118056797716,[-137.33108108  -64.83108108 -142.19594595],[-138.72857143  -67.68571429 -142.86428571],[-135.15972222  -68.59722222 -143.5       ],1360
49,49,1,GM,1597.6958424173465,380.74743386488035,1196.9054362290228,[-199.02112676   42.94366197 -123.01408451],[-194.86713287   41.93006993 -121.58041958],[-193.18120805   39.22147651 -124.46308725],1360
50,50,1,GM,1383.6923164432544,474.9833295447139,1219.356910534907,[-256.48550725  111.64492754 -285.63768116],[-254.08        113.00666667 -283.01333333],[-254.15172414  116.54482759 -279.08275862],1360
51,51,1,GM,1515.2422164667723,514.9347325317451,1160.2409606828367,[-113.35971223  -24.48201439   19.28057554],[-110.5106383   -22.33333333   18.71631206],[-109.82        -20.46666667   22.36      ],1360
52,52,1,GM,1574.5664501720648,439.46920856749773,1135.024727017572,[ -90.28676471   82.39705882 -202.55147059],[ -92.79699248   82.4962406  -204.33082707],[ -96.88435374   86.44217687 -204.06802721],1360
53,53,1,GM,1632.9175080665693,531.381101353585,1166.7143934381995,[ -74.49612403  -40.78294574 -223.05426357],[ -78.06293706  -41.43356643 -222.6993007 ],[ -80.14788732  -43.52816901 -228.72535211],1360
54,54,1,GM,1492.0620987211937,546.7594278153366,1155.3790142615771,[-300.93478261   77.10144928 -106.98550725],[-300.44520548   76.69863014 -109.21232877],[-302.45454545   74.37062937 -112.88811189],1360
