,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
0,0,2,PW,-4.530806916668183,80.2023213248897,-334.99212235475505,[-29.73333333 -36.03703704  72.74074074],[-28.92753623 -36.23913043  72.55072464],[-25.22142857 -36.46428571  73.15714286],1364
1,1,2,PW,298.1229458268946,146.9782119603388,-183.2704774641178,[78.64285714 58.10714286 71.06428571],[79.86231884 58.87681159 65.94202899],[78.0647482  58.4676259  63.97841727],1364
2,2,2,PW,227.8899696575512,117.64015940070537,-276.70630121431776,[ 72.67605634 -19.44366197  75.04929577],[ 75.72535211 -21.37323944  76.0915493 ],[ 78.86428571 -20.38571429  78.76428571],1364
3,3,2,PW,84.5238788140144,61.16346122122096,-484.4256091209073,[33.73049645 50.90070922 83.23404255],[32.91240876 53.60583942 81.89781022],[32.56551724 58.35172414 83.23448276],1364
4,4,2,PW,155.16132595923452,181.03748842664152,-463.77204889799714,[-21.23529412   1.47794118 120.21323529],[-21.86861314  -0.89051095 121.51094891],[-22.46808511  -0.77304965 122.93617021],1364
5,5,2,PW,130.56784844142658,-42.372144886095484,-314.35221458863026,[32.31884058 75.31884058 32.7173913 ],[35.52857143 73.75714286 31.89285714],[37.27857143 76.73571429 31.40714286],1364
6,6,2,PW,-58.90414642321629,-82.1216380077667,-60.036972819707046,[112.24817518 -47.18248175 118.59854015],[115.91666667 -46.70833333 121.5625    ],[114.36858769 -46.04976107 125.61870504],1364
7,7,2,PW,-62.07531619830682,-60.67039900966018,-95.71793189389868,[111.31578947   1.41353383  85.32330827],[110.96376812   3.17391304  82.88405797],[112.30555556  -0.24305556  82.10416667],1364
8,8,2,PW,-102.56348931209604,-144.95254978798448,-82.23652242391921,[-25.78195489   2.93984962   8.96992481],[-27.65693431   2.2189781    9.2919708 ],[-24.47014925   3.40298507  10.64179104],1364
9,9,2,PW,7.199900417557526,-333.22096481552524,-244.86393621736332,[39.58955224 41.40298507 -0.46268657],[39.69503546 39.67375887  3.41843972],[41.53623188 41.23188406  6.77536232],1364
10,10,2,PW,396.5522211010861,-419.6139500545366,-359.1490128542365,[-41.83453237   3.23021583  55.92805755],[-39.86956522  -2.23913043  54.48550725],[-35.83941606  -2.01459854  53.78832117],1364
11,11,2,PW,373.77741645005125,-208.12290594367335,-560.2803311267676,[ 16.24637681  29.60869565 120.6884058 ],[ 15.64233577  27.75182482 118.94890511],[ 12.85611511  27.99280576 119.51079137],1364
12,12,2,PW,-28.142662094233373,-145.54551460446095,-381.0798409645734,[105.04929577  59.45070423  71.52112676],[105.92907801  60.64539007  69.56737589],[107.64444444  59.45925926  69.97777778],1364
13,13,2,PW,-133.89323045080695,146.30618945426704,-313.66624760771873,[11.17985612 11.99280576 98.8057554 ],[11.56617647 14.27941176 96.77941176],[ 8.72180451 14.78947368 95.67669173],1364
14,14,2,PW,48.34152150653726,-82.99876297072834,-311.204317915204,[83.95070423 34.85915493 -6.28169014],[81.70921986 36.46808511 -8.18439716],[83.24822695 35.16312057 -7.62411348],1364
15,15,2,PW,207.644097522196,-10.70141285663684,-222.57251658314547,[  58.61832061    6.33587786 -112.59541985],[  58.30656934    3.89781022 -114.17518248],[  58.78195489    4.18045113 -114.30827068],1364
16,16,2,PW,73.7217467657963,23.942003507614942,-446.1914315403053,[28.51937984 12.57364341 66.01550388],[29.02238806 11.93283582 65.69402985],[28.80597015 11.97014925 66.24626866],1364
17,17,2,PW,-119.92262213554874,-78.65531736909396,-389.67538544363947,[-34.35211268  -9.90140845 102.57042254],[-29.56944444  -9.80555556 102.75694444],[-27.74264706 -10.72058824 104.98529412],1364
18,18,2,PW,-123.12174919985115,168.87110784058302,-477.62876921795345,[22.95588235 29.11764706 37.45588235],[23.29710145 29.84782609 37.86231884],[23.58695652 30.76086957 37.75362319],1364
19,19,2,PW,-3.065062377044285,131.1438697300397,-511.0647936774559,[-23.84892086  -2.17266187  27.48920863],[-25.65714286  -4.21428571  27.21428571],[-26.83823529  -5.96323529  23.30882353],1364
20,20,2,PW,-77.05358336456143,-26.891458843473423,-416.19835680815316,[-2.44285714 62.18245355 33.15964143],[-0.64977359 62.30136986 38.55996096],[ 1.20567376 62.67797112 43.33553534],1364
21,21,2,PW,-249.54716123011576,-62.14887282629312,-372.593412991019,[ 13.6119403   12.05223881 110.80597015],[ 12.16788321  10.48175182 110.69343066],[ 12.02857143  12.4        111.2       ],1364
22,22,2,PW,-301.54602879430695,-303.91055985218065,-709.0507207647252,[ 66.02205882  -2.96154232 110.19128111],[ 66.92805755   1.75539568 112.62589928],[ 66.24475524   6.56643357 111.83916084],1364
23,23,2,PW,-34.59429310213349,-206.10290421534302,-905.2449251106267,[-0.16197183 -9.19014085 39.71830986],[  1.78723404 -13.21276596  42.45390071],[  7.19285714 -14.88571429  41.95      ],1364
24,24,2,PW,37.0381920618488,-186.32407113961028,-838.7653031561234,[-10.13669065  34.3381295  140.35251799],[ -8.125       34.00735294 135.53676471],[ -6.0530303   33.40909091 135.93181818],1364
25,25,2,PW,152.0433028001782,-247.09329731144328,-753.575262614821,[165.26923077  65.83846154 144.57692308],[161.55970149  67.40298507 144.24626866],[158.68794326  67.80851064 143.06382979],1364
26,26,2,PW,-53.21701783673597,-213.72493183583936,-300.95710944823657,[ 66.61971831 -16.57746479  67.29577465],[ 65.22565242 -13.24434668  65.83098592],[66.66428571 -9.99285714 62.67142857],1364
27,27,2,PW,-213.27194107681194,-252.6979563197764,-544.7101354219723,[ 50.9858156  107.41134752 140.21276596],[ 55.23076923 109.18181818 141.70629371],[ 57.04929577 112.98591549 143.07042254],1364
28,28,2,PW,106.48055634599415,-510.4849274967072,-561.2105036574063,[ 81.18881119  44.58041958 -15.76923077],[ 78.61313869  45.54014599 -18.33576642],[ 79.9787234   43.27659574 -22.72340426],1364
29,29,2,PW,-3.4908184006719942,-462.61797719318474,-861.1369341014104,[ 84.98639456  47.8707483  102.41496599],[ 88.18705036  44.42446043 105.35971223],[ 87.14893617  39.76595745 107.36170213],1364
30,30,2,PW,256.250772723257,-638.2583162405272,-976.686920018116,[-18.92907801 159.35460993  99.71631206],[-21.7080292  158.08759124  98.37226277],[-21.09859155 160.6971831   98.78169014],1364
31,31,2,PW,210.02325062895642,-435.24201280463706,-859.2504586712632,[ 64.43939394  75.87121212 103.06818182],[62.29285714 77.24285714 98.72142857],[ 61.22302158  77.1942446  100.56115108],1364
32,32,2,PW,88.04814557573783,-197.3826798005121,-665.3937102615238,[ 54.95804196 -16.1958042    7.86713287],[ 56.9020979  -12.51048951  10.4965035 ],[58.68794326 -8.62411348  7.61702128],1364
33,33,2,PW,21.738657268217537,35.22969725196834,-469.06045716173617,[ 21.62937063 -14.16083916 126.86013986],[ 27.95138889 -12.45138889 128.08333333],[ 24.88028169 -11.17605634 125.76760563],1364
