,time,iter,type,v_x,v_y,v_z,order,variance,n_cells
0,0,R,OF,-21.555971744431947,53.6810072720523,-261.2297675083303,267.5580346243506,14.097201561744724,1739
1,1,R,OF,-33.51592163024254,30.855292500289384,-453.317456153768,455.6007925055951,15.213813609305754,1739
2,2,R,OF,-63.88478384282686,21.51549471771835,-660.7815647770304,664.2111550318722,16.035357998988356,1739
3,3,R,OF,-104.78146342829348,29.701212139660747,-891.3268252101742,897.9559156328268,16.277347764504224,1739
4,4,R,OF,-127.32228827994773,20.67068905369552,-1092.7253777487006,1100.3122255318428,16.267558464400135,1739
5,5,R,OF,-140.7662725937793,16.573461735335552,-1269.4993754709176,1277.3873678156085,15.924082517293092,1739
6,6,R,OF,-163.02800838687645,11.40261368283232,-1418.9790013837674,1428.359043618048,15.417405328499964,1739
7,7,R,OF,-190.2063670683255,15.087923189697666,-1517.6724473749111,1529.6194837345859,14.86127368622078,1739
8,8,R,OF,-236.42699309782355,13.924572672963532,-1579.637603644723,1597.2935158066114,14.286672880013361,1739
9,9,R,OF,-236.97180768091607,39.42838517631227,-1622.866588725991,1640.5505783109243,14.28248724640348,1739
10,10,R,OF,-239.3453265453301,10.043665664515961,-1652.451085016083,1669.7250219511898,13.83746283558168,1739
11,11,R,OF,-247.6268159314137,14.323367279926497,-1668.6471872997956,1686.9818121432386,13.862796811026573,1739
12,12,R,OF,-261.8036931279078,11.609969586069855,-1674.6210380094017,1695.0019427932486,13.443600884298926,1739
13,13,R,OF,-275.5764256785875,48.964938889825426,-1675.7835903098862,1698.996931481091,13.875836885441872,1739
14,14,R,OF,-271.2245349489899,74.11188200581543,-1675.1910722606206,1698.6231035737233,14.22077342304197,1739
15,15,R,OF,-279.35817839255157,72.50725495771013,-1678.6619507432206,1703.2921765596593,14.184470184923551,1739
16,16,R,OF,-298.46005629514735,86.15803585636269,-1669.336818511902,1697.9950017552371,13.947383826307664,1739
17,17,R,OF,-346.01968166193615,77.42439796665124,-1665.5145561895738,1702.8396560972144,13.848150384066532,1739
18,18,R,OF,-323.95116678185053,72.40860659385113,-1668.2003471296064,1700.9055714329131,13.800657330410019,1739
19,19,R,OF,-334.5915824326401,52.11973077024483,-1670.3202231458806,1704.2997509887882,13.43914268647683,1739
20,20,R,OF,-340.8351023018115,67.34061615895851,-1664.8665798458148,1700.7304472588405,13.551586795584239,1739
21,21,R,OF,-337.8797463812035,84.30100495180643,-1663.7969156311856,1699.8498636392442,13.683130592624329,1739
22,22,R,OF,-306.25315461622023,43.970064452283395,-1670.5885882016314,1698.996937110201,13.626440213409866,1739
23,23,R,OF,-310.98709248631076,61.230897018969614,-1668.3459287018472,1698.1873666527101,13.646136590753411,1739
24,24,R,OF,-328.3767947024441,101.08773097791328,-1665.4770175422666,1700.5480718329597,14.204069692701518,1739
25,25,R,OF,-327.823017813008,124.41491167947451,-1660.8635878778227,1697.4730804329809,14.11167041137636,1739
26,26,R,OF,-342.4636477393136,151.72582678525404,-1655.0678957223486,1696.9242222289681,14.574352426246113,1739
27,27,R,OF,-340.7278444203437,172.56741159519984,-1656.0188594326967,1699.4921118689463,14.616653764399597,1739
28,28,R,OF,-310.6414529260393,194.84179537989695,-1661.6877688288723,1701.6661478028932,14.999038587507323,1739
29,29,R,OF,-293.1335951633839,191.12086687107114,-1665.7422152599283,1702.1021174024822,15.03695971822777,1739
30,30,R,OF,-289.08432881424966,205.62594818282764,-1662.5051143971373,1699.9338325737008,15.48150345883155,1739
31,31,R,OF,-283.04710367285793,203.5102988267602,-1659.231110255547,1695.45863466674,15.550272958827344,1739
32,32,R,OF,-261.7543450902047,204.5500665899387,-1662.8998672912323,1695.7570685545581,15.769209071101109,1739
33,33,R,OF,-247.544091148116,231.71564205249157,-1663.638984301522,1697.8412428498564,16.00241897141653,1739
34,34,R,OF,-240.98886838206354,241.60209956463194,-1668.5758203102698,1703.1125850401659,15.976411639670802,1739
35,35,R,OF,-233.4891684280277,245.18908398504328,-1669.9041598937247,1703.8822676197447,16.11329344445276,1739
36,36,R,OF,-223.82106323987642,257.2365201730793,-1670.4394813423357,1704.8854965914384,16.467949289477865,1739
37,37,R,OF,-197.4648200454143,271.1568922145475,-1661.1843879242467,1694.7129509253991,16.621955129328434,1739
38,38,R,OF,-199.02417271350998,243.65376889299236,-1664.7114957040194,1694.1788997473584,16.476951312655856,1739
39,39,R,OF,-162.90345462848146,243.85487450704127,-1671.307752803421,1696.841872400478,16.86223898379671,1739
40,40,R,OF,-152.9969667548317,238.04551155055157,-1674.6150000815344,1698.354832154818,16.563525778681385,1739
41,41,R,OF,-141.57063999066386,258.85484264354625,-1676.686261897203,1702.4467382277182,16.706648521520794,1739
42,42,R,OF,-162.29615668217755,280.1054139896957,-1669.3619465467546,1700.4612297840001,16.87270035944247,1739
43,43,R,OF,-166.83173794853806,274.9986339712288,-1669.9328995097608,1700.627227330566,16.858834444872475,1739
44,44,R,OF,-159.18191486758911,276.8130463225379,-1674.7124809444429,1704.8830571233814,17.17535132885873,1739
45,45,R,OF,-167.53773919455463,280.6343555901419,-1670.7461319485858,1702.4151000895986,16.769622477280862,1739
46,46,R,OF,-153.45754381689514,277.11208821205565,-1671.871258580596,1701.615065887531,16.96615211336713,1739
47,47,R,OF,-142.26108629990847,291.55687636470236,-1669.9644618126779,1701.1833918035054,16.955877529516737,1739
48,48,R,OF,-162.36237052475522,280.5423328335039,-1672.4937090332144,1703.6140251329703,16.717150502239853,1739
49,49,R,OF,-196.81372732118876,299.408802179679,-1663.1394714939267,1701.297791606698,16.920282948998267,1739
50,50,R,OF,-241.8944040168767,284.40392658997996,-1656.0692261669851,1697.6347598973684,16.38971433697769,1739
51,51,R,OF,-267.6035824415362,268.41935336080303,-1655.0712449565726,1697.916797866219,15.995141291593999,1739
52,52,R,OF,-278.5146624998824,248.74389309023096,-1654.9503942873482,1696.5567332479502,15.794805410837249,1739
53,53,R,OF,-289.392137231671,201.3025557233321,-1662.9032914873485,1699.85819551859,15.183819262951097,1739
54,54,R,OF,-318.8992602474531,196.1521786089589,-1654.0238498994645,1695.867716361055,15.01165939370477,1739
55,55,R,OF,-305.6081773765284,204.0933105463795,-1657.492592489325,1697.743246679594,15.284985341733627,1739
56,56,R,OF,-324.16004737270845,186.86488688703312,-1655.788293680402,1697.5373621081326,14.861655753647009,1739
57,57,R,OF,-328.72896675969776,202.4416857463064,-1652.0339903401639,1696.544038613189,15.225823777139725,1739
58,58,R,OF,-340.08204478478604,209.84488709439293,-1647.618683278254,1695.38727118975,15.17604466404304,1739
59,59,R,OF,-371.2500843734357,195.00377728602103,-1650.3000837269944,1702.7458602658307,14.467770167455544,1739
60,60,R,OF,-387.89439371155703,208.45545832704548,-1641.619229968941,1699.6556813022496,14.642151348054602,1739
61,61,R,OF,-374.40735729044354,219.7910298035901,-1640.8150106392827,1697.2810212556217,14.822225457217414,1739
62,62,R,OF,-387.5489378743551,235.3936668664372,-1640.3927004104016,1701.9085078840453,14.925691259979441,1739
63,63,R,OF,-380.7937291692165,222.0546717111147,-1641.9272024783413,1700.0697278763837,14.880604271924133,1739
64,64,R,OF,-337.86154999201847,242.43850829177487,-1645.6379402646019,1697.365926282271,15.348810945821235,1739
65,65,R,OF,-315.41804205451785,246.6435448558282,-1651.137827016468,1698.993143975931,15.503151012639869,1739
66,66,R,OF,-315.41218515161705,264.7251524552829,-1654.20321551788,1704.6854639828086,15.618594475599913,1739
