,type,iter,pooled_persist,global_order,std_glbl_order,lcl_order,std_lcl
0,ER,4,14.214949788719819,4748.114749223983,1277.796160698228,3.9247237090331315,0.9245696228151974
1,ER,3,7.507904688314609,4624.455879483004,1404.5279643537597,3.8942665160025465,0.9530309622728853
2,GM,2,69.14134064746128,5090.877224211693,1536.390625410345,4.0620671688860455,0.9721451041893062
3,PW,0,43.87437517625272,4971.494883910092,1315.5644536111467,4.001295651434029,0.9131829728287504
4,ER,1,7.729347193074896,4609.023280162524,1473.7400140447269,3.8955119716831215,0.9842097065969502
5,GM,4,38.536155557523635,5054.83129107672,1553.349638473505,4.108047583639552,0.9419279001241182
6,BA,4,12.208232049870958,4838.184177680598,1607.2914571683218,3.9611166808944915,0.993835866947354
7,BA,1,73.7522997384468,5116.940774867522,1406.420588829509,4.082665910059411,0.9212199556632319
8,WS,1,71.64557435430481,5185.333494738032,1638.878405254301,4.077480923608138,1.0252366284331171
9,ER,0,8.83345428561582,4685.191614481944,1378.359855026705,3.884585092235222,0.9748870424494115
10,WS,3,56.97614287494112,5305.672109066036,1344.1694945051497,4.128865324610676,0.9523115856933854
11,BA,3,74.61811374908514,5216.689437708409,1245.9797645264773,4.101078914577184,0.9422260392745953
12,BA,0,11.904023628114189,4830.939653686529,1655.5312147454345,3.9811055183193647,1.0167366879940396
13,ER,2,6.941426916385636,4563.91499307596,1549.334291707513,3.8535597447459184,1.0127458960976337
14,PW,4,10.580159168246405,4714.18337593728,1731.678171771158,3.9395209168978362,1.0160763916557152
15,BA,2,63.625028810535916,5072.854654780994,1386.26553241564,4.044737940960771,0.9316582328174269
16,WS,2,96.72102421313161,5282.70522085474,1372.2097283902733,4.106191748336767,0.9448818573463366
17,GM,1,74.2177743873827,5242.626813327627,1563.7874696948386,4.115240045153724,1.0160716811610293
18,GM,0,73.15644502439876,5188.126489529845,1418.2651810341795,4.084412432284526,0.9500756558574945
19,GM,3,37.908846786254905,4931.562489659485,1752.1092996101233,4.011027607011592,1.0237217962879406
20,PW,3,48.66982037171949,4973.132690994076,1292.518843633603,3.9924990158407136,0.9875141231982955
21,WS,0,91.55143452837564,5292.129122009505,1440.4901183493073,4.121324115736381,0.9495423610142794
22,PW,2,11.262641423259268,4798.3630336579145,1444.6229077090834,3.949567928377521,0.9684225166255706
23,PW,1,38.54690215095951,5088.913676411887,1090.9466123297448,4.0637428417455865,0.9071027018170653
24,WS,4,89.68249035928575,5591.345286980508,1097.5419837998136,4.2302232533294095,0.9033865712413499
