,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
0,0,0,WS,-294.77002820029156,93.59055188985218,256.93488277751317,[ 560.07189542  621.90849673 -286.76470588],[ 561.38194444  625.125      -289.89583333],[ 560.72327044  629.94339623 -293.67924528],1367
1,1,0,WS,-418.13363265662184,-213.4133953589366,376.2188681066433,[ 610.99375  383.5375  -234.6125 ],[ 608.34228188  388.06040268 -237.68456376],[ 605.54861111  390.45833333 -239.63194444],1367
2,2,0,WS,-345.7849286917639,-351.4991544807167,245.20362356875506,[ 492.23913043  457.72463768 -263.96376812],[ 495.25657895  460.28947368 -260.06578947],[ 500.9689441   459.24223602 -258.50931677],1367
3,3,0,WS,-289.18009505411146,-213.22898704215982,378.4835217124078,[ 569.26451613  529.49677419 -284.91612903],[ 566.04605263  530.34868421 -287.48684211],[ 563.80392157  535.97385621 -289.11111111],1367
4,4,0,WS,-309.1387020600407,-320.996814711018,407.5948212163868,[ 522.44295302  633.66442953 -189.08053691],[ 525.17266187  632.3381295  -188.28057554],[ 527.27210884  635.72108844 -192.30612245],1367
5,5,0,WS,-466.6318501708246,-408.2573569024504,350.08548504653334,[ 636.5751634   482.49673203 -261.32679739],[ 632.18918919  482.97297297 -262.86486486],[ 628.04516129  483.77419355 -265.70967742],1367
6,6,0,WS,-549.8234203820006,-513.4840728245651,568.8023088918919,[ 570.0890411   471.38356164 -231.99315068],[ 573.51369863  469.18043872 -231.90203303],[ 577.86577181  469.5704698  -232.2885906 ],1367
7,7,0,WS,-509.2024374719163,-375.618591747113,488.7585904987569,[ 566.84076433  585.35031847 -212.97452229],[ 566.60666667  591.33333333 -212.98666667],[ 564.0875   595.5125  -210.98125],1367
8,8,0,WS,-733.8918991853174,-785.791579268446,388.69652937746184,[ 557.47402597  415.31818182 -219.42207792],[ 552.93377483  415.38410596 -221.49668874],[ 548.69230769  418.12820513 -223.64102564],1367
9,9,0,WS,-830.0755653553705,-894.3085831338032,481.8260768587089,[ 615.88435374  420.20408163 -328.33333333],[ 614.34013605  417.56462585 -331.58503401],[ 619.85064935  415.90909091 -332.2012987 ],1367
10,10,0,WS,-934.6005913482074,-757.321233349767,702.239630115364,[ 623.50684932  588.32876712 -232.80136986],[ 619.56737589  589.56028369 -230.91489362],[ 614.7755102  589.5170068 -230.1292517],1367
11,11,0,WS,-1010.0410372167754,-796.6588616012185,838.2148619827395,[ 537.98076923  475.78205128 -329.34615385],[ 542.1372549   473.67973856 -328.04575163],[ 544.72611465  472.06369427 -325.27388535],1367
12,12,0,WS,-1017.9864871559948,-892.2470908431914,752.9166840531072,[ 610.44444444  540.33986928 -205.01960784],[ 607.07352941  555.5        -203.39705882],[ 600.83333333  545.27777778 -203.48148148],1367
13,13,0,WS,-1057.800930417892,-923.2939948503422,782.4539377575529,[ 591.52413793  414.32413793 -244.        ],[ 594.8427673   417.59119497 -246.32704403],[ 599.48101266  419.87341772 -247.25316456],1367
14,14,0,WS,-1329.0383672130583,-1049.7567476935312,775.8772365291584,[ 637.8943662   552.11267606 -366.99295775],[ 638.41780822  548.33561644 -361.7739726 ],[ 640.59493671  543.7721519  -361.30379747],1367
15,15,0,WS,-1505.3430828602827,-974.1719940268581,661.7174124482059,[ 610.41830065  433.7124183  -240.53594771],[ 606.9         437.21333333 -242.59333333],[ 610.59459459  442.56081081 -242.30405405],1367
16,16,0,WS,-1690.8030895668821,-1115.7513321000179,568.1796796806253,[ 615.05228758  513.13071895 -242.02614379],[ 619.99354839  510.80645161 -242.4       ],[ 623.46052632  511.56578947 -238.19736842],1367
17,17,0,WS,-1801.072778419281,-1358.1999411294364,590.3957593328328,[ 662.70967742  562.6        -152.70322581],[ 657.26315789  563.78947368 -153.80921053],[ 656.65333333  567.17333333 -150.33333333],1367
18,18,0,WS,-1891.7556165359056,-1482.1222769269543,666.7424719338795,[ 640.96052632  424.75657895 -246.97368421],[ 638.8427673   427.64150943 -250.58490566],[ 637.03307884  429.49819988 -254.92361111],1367
19,19,0,WS,-2046.4401067372073,-1540.1759002842728,921.403352603862,[ 595.01369863  527.41780822 -203.35616438],[ 590.9602649   530.71523179 -203.45033113],[ 586.47916667  531.93055556 -200.04166667],1367
20,20,0,WS,-1997.8792698448096,-1669.9059987440369,729.6889783757281,[ 511.42767296  561.87421384 -213.68553459],[ 514.60625  562.66875 -217.88125],[ 516.43421053  561.49342105 -222.73026316],1367
21,21,0,WS,-2259.610391782531,-1964.2106584251171,869.5303094550165,[ 655.92356688  416.94267516 -229.12101911],[ 652.65753425  416.20547945 -232.25342466],[ 650.50931677  414.50931677 -234.95652174],1367
22,22,0,WS,-2337.6753784617795,-1866.042034175276,1079.816390016935,[ 615.41614907  508.04968944 -168.24223602],[ 612.36842105  510.36184211 -164.46710526],[ 606.68789809  510.78980892 -165.72611465],1367
