,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
0,0,0,PW,-50.68753233512506,191.24519193735557,-117.64890336511343,[-106.29078014 -345.73049645   97.84397163],[-107.81944444 -343.32638889   96.36805556],[-107.97222222 -345.97916667   92.79166667],1331
1,1,0,PW,-50.27756064725095,-26.930441462514295,-207.18195950530622,[ -60.20833333 -333.72222222   43.76388889],[ -60.22222222 -332.43055556   41.97222222],[ -60.76223776 -328.61538462   43.51048951],1331
2,2,0,PW,8.686990803506028,-89.09713057180852,-180.4502067680677,[ -70.96503497 -356.41958042  128.65034965],[ -71.21830986 -360.37323944  128.53521127],[ -73.43356643 -361.95804196  127.04195804],1331
3,3,0,PW,150.6994977130114,-50.76030417009039,-169.14196152470163,[ -92.36879433 -320.80851064   17.74468085],[ -88.69178082 -320.43150685   18.10958904],[ -90.35211268 -319.11267606   20.20422535],1331
4,4,0,PW,243.25886309743098,76.3632233051854,-183.9449810427908,[-126.76760563 -280.92957746  136.38732394],[-127.26388889 -280.875       140.00694444],[-129.48979592 -283.46938776  141.46258503],1331
5,5,0,PW,243.529152927835,172.32546168480917,-183.37710098170822,[-133.45       -264.78571429  -34.12142857],[-135.18881119 -268.01398601  -32.54545455],[-136.60714286 -269.62142857  -32.92142857],1331
6,6,0,PW,258.2814767210805,157.76058751706773,-80.23411744037242,[-114.28082192 -322.54794521  117.31506849],[-114.60958904 -323.84931507  114.2260274 ],[-116.39583333 -326.29861111  113.19444444],1331
7,7,0,PW,381.2968992695361,99.13800803180806,-22.14186686992158,[ -89.3028169  -219.70422535   72.79577465],[ -89.54609929 -220.73049645   75.26950355],[ -91.10791367 -223.8057554    77.30935252],1331
8,8,0,PW,322.46111645794406,62.17606557852157,-95.16818413837643,[-118.58865248 -325.81560284   66.26950355],[-116.79861111 -325.95833333   67.22916667],[-113.94482759 -328.56551724   67.63448276],1331
9,9,0,PW,251.8062082040888,106.29237286571833,-168.7077623605856,[ -57.04929577 -306.76760563    3.84507042],[ -58.31944444 -304.55555556    3.6875    ],[ -61.28671329 -304.52447552    6.29370629],1331
