,time,center,coords,length,order,type,iter
0,0,0,"[9.0, 59.5, 15.0]",1.0,1.0,GM,1
1,0,1,"[60.5, 44.5, 14.5]",1.7320508075688772,4.0,GM,1
2,0,2,"[3.5, 32.5, 37.0]",2.449489742783178,0.0,GM,1
3,0,3,"[31.5, 14.5, 9.0]",2.449489742783178,0.0,GM,1
4,0,4,"[28.5, 36.0, 10.0]",3.0,0.0,GM,1
5,0,5,"[28.0, 21.0, 9.5]",3.0,0.0,GM,1
6,0,6,"[27.5, 46.5, 0.5]",3.3166247903554,0.0,GM,1
7,0,7,"[46.5, 22.5, 56.5]",3.3166247903554,0.0,GM,1
8,0,8,"[21.5, 24.0, 39.0]",3.605551275463989,0.0,GM,1
9,0,9,"[24.5, 20.0, 18.5]",3.7416573867739413,1.0,GM,1
10,0,10,"[8.5, 13.5, 3.0]",3.7416573867739413,0.0,GM,1
11,0,11,"[19.0, 40.5, 58.5]",4.242640687119285,1.0,GM,1
12,0,12,"[13.0, 26.5, 1.5]",4.242640687119285,0.0,GM,1
13,0,13,"[37.5, 31.5, 21.0]",4.242640687119285,1.0,GM,1
14,0,14,"[40.0, 31.0, 57.5]",4.58257569495584,0.0,GM,1
15,0,15,"[2.5, 34.0, 39.0]",4.58257569495584,0.0,GM,1
16,0,16,"[27.5, 44.0, 3.0]",4.58257569495584,0.0,GM,1
17,0,17,"[18.5, 54.0, 36.0]",4.58257569495584,1.0,GM,1
18,0,18,"[6.5, 32.0, 25.5]",4.69041575982343,0.0,GM,1
19,0,19,"[6.5, 30.0, 28.5]",4.69041575982343,0.0,GM,1
20,0,20,"[48.5, 24.0, 59.5]",4.69041575982343,3.0,GM,1
21,1,0,"[9.0, 59.5, 15.0]",1.0,1.0,GM,1
22,1,1,"[60.5, 44.5, 14.5]",1.7320508075688772,0.0,GM,1
23,1,2,"[3.5, 32.5, 37.0]",2.449489742783178,0.0,GM,1
24,1,3,"[31.5, 14.5, 9.0]",2.449489742783178,0.0,GM,1
25,1,4,"[28.5, 36.0, 10.0]",3.0,0.0,GM,1
26,1,5,"[28.0, 21.0, 9.5]",3.0,0.0,GM,1
27,1,6,"[27.5, 46.5, 0.5]",3.3166247903554,0.0,GM,1
28,1,7,"[46.5, 22.5, 56.5]",3.3166247903554,0.0,GM,1
29,1,8,"[21.5, 24.0, 39.0]",3.605551275463989,0.0,GM,1
30,1,9,"[24.5, 20.0, 18.5]",3.7416573867739413,1.0,GM,1
31,1,10,"[8.5, 13.5, 3.0]",3.7416573867739413,0.0,GM,1
32,1,11,"[19.0, 40.5, 58.5]",4.242640687119285,3.0,GM,1
33,1,12,"[13.0, 26.5, 1.5]",4.242640687119285,0.0,GM,1
34,1,13,"[37.5, 31.5, 21.0]",4.242640687119285,0.0,GM,1
35,1,14,"[40.0, 31.0, 57.5]",4.58257569495584,0.0,GM,1
36,1,15,"[2.5, 34.0, 39.0]",4.58257569495584,1.0,GM,1
37,1,16,"[27.5, 44.0, 3.0]",4.58257569495584,0.0,GM,1
38,1,17,"[18.5, 54.0, 36.0]",4.58257569495584,0.0,GM,1
39,1,18,"[6.5, 32.0, 25.5]",4.69041575982343,0.0,GM,1
40,1,19,"[6.5, 30.0, 28.5]",4.69041575982343,0.0,GM,1
