,time,center,coords,radius,order,type,iter
0,0,0,"[51, 32, 48]",7,0.1111111111111111,ER,1
1,0,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
2,0,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
3,0,3,"[25, 13, 7]",7,0.7777777777777778,ER,1
4,0,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
5,0,5,"[48, 24, 7]",6,0.06666666666666667,ER,1
6,0,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
7,0,7,"[28, 38, 51]",6,0.0,ER,1
8,0,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
9,0,9,"[59, 45, 44]",6,0.06666666666666667,ER,1
10,0,10,"[23, 59, 6]",6,0.0,ER,1
11,1,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
12,1,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
13,1,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
14,1,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
15,1,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
16,1,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
17,1,6,"[53, 22, 22]",6,0.8333333333333334,ER,1
18,1,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
19,1,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
20,1,9,"[59, 45, 44]",6,0.4666666666666667,ER,1
21,1,10,"[23, 59, 6]",6,0.1111111111111111,ER,1
22,2,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
23,2,1,"[40, 32, 56]",7,0.6666666666666666,ER,1
24,2,2,"[13, 58, 48]",7,0.2,ER,1
25,2,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
26,2,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
27,2,5,"[48, 24, 7]",6,0.16666666666666666,ER,1
28,2,6,"[53, 22, 22]",6,0.0,ER,1
29,2,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
30,2,8,"[48, 6, 55]",6,0.5,ER,1
31,2,9,"[59, 45, 44]",6,0.5,ER,1
32,2,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
33,3,0,"[51, 32, 48]",7,0.16666666666666666,ER,1
34,3,1,"[40, 32, 56]",7,0.6,ER,1
35,3,2,"[13, 58, 48]",7,0.6666666666666666,ER,1
36,3,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
37,3,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
38,3,5,"[48, 24, 7]",6,0.0,ER,1
39,3,6,"[53, 22, 22]",6,0.6666666666666666,ER,1
40,3,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
41,3,8,"[48, 6, 55]",6,0.0,ER,1
42,3,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
43,3,10,"[23, 59, 6]",6,0.2,ER,1
44,4,0,"[51, 32, 48]",7,0.16666666666666666,ER,1
45,4,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
46,4,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
47,4,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
48,4,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
49,4,5,"[48, 24, 7]",6,0.0,ER,1
50,4,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
51,4,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
52,4,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
53,4,9,"[59, 45, 44]",6,0.06666666666666667,ER,1
54,4,10,"[23, 59, 6]",6,0.16666666666666666,ER,1
55,5,0,"[51, 32, 48]",7,0.0,ER,1
56,5,1,"[40, 32, 56]",7,0.5,ER,1
57,5,2,"[13, 58, 48]",7,0.6666666666666666,ER,1
58,5,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
59,5,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
60,5,5,"[48, 24, 7]",6,0.06666666666666667,ER,1
61,5,6,"[53, 22, 22]",6,0.1111111111111111,ER,1
62,5,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
63,5,8,"[48, 6, 55]",6,0.6666666666666666,ER,1
64,5,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
65,5,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
66,6,0,"[51, 32, 48]",7,0.5555555555555556,ER,1
67,6,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
68,6,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
69,6,3,"[25, 13, 7]",7,0.7777777777777778,ER,1
70,6,4,"[47, 41, 30]",7,0.3333333333333333,ER,1
71,6,5,"[48, 24, 7]",6,0.6666666666666666,ER,1
72,6,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
73,6,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
74,6,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
75,6,9,"[59, 45, 44]",6,0.0,ER,1
76,6,10,"[23, 59, 6]",6,0.6666666666666666,ER,1
77,7,0,"[51, 32, 48]",7,1.0,ER,1
78,7,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
79,7,2,"[13, 58, 48]",7,0.16666666666666666,ER,1
80,7,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
81,7,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
82,7,5,"[48, 24, 7]",6,0.1111111111111111,ER,1
83,7,6,"[53, 22, 22]",6,0.6666666666666666,ER,1
84,7,7,"[28, 38, 51]",6,0.0,ER,1
85,7,8,"[48, 6, 55]",6,0.4666666666666667,ER,1
86,7,9,"[59, 45, 44]",6,0.2,ER,1
87,7,10,"[23, 59, 6]",6,0.5,ER,1
88,8,0,"[51, 32, 48]",7,0.6,ER,1
89,8,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
90,8,2,"[13, 58, 48]",7,0.0,ER,1
91,8,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
92,8,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
93,8,5,"[48, 24, 7]",6,0.0,ER,1
94,8,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
95,8,7,"[28, 38, 51]",6,0.0,ER,1
96,8,8,"[48, 6, 55]",6,0.2222222222222222,ER,1
97,8,9,"[59, 45, 44]",6,0.16666666666666666,ER,1
