,Lambda,Perist,speed,persistance,global_order,lcl_order
0,2000,0.4,2.3789580657638254,0.0,2.3789580657638254,
1,5000,0.9,0.36072593783767454,0.0,0.36072593783767454,
2,2000,0.7,0.369049097911851,0.0,0.369049097911851,
3,3000,0.8,0.3954926195145925,0.0,0.3954926195145925,
4,500,1,0.3633283425635044,0.0,0.3633283425635044,
5,750,0.7,1.3639265429747032,0.0,1.3639265429747032,
6,2000,0.2,0.9657085026253697,0.0,0.9657085026253697,
7,500,0.01,0.46006949836469524,0.0,0.46006949836469524,
8,1000,0.2,0.35087409937466524,0.0,0.35087409937466524,
9,2000,0.1,0.45989204601104344,0.0,0.45989204601104344,
10,3000,1,0.35718725616053104,0.0,0.35718725616053104,
11,2000,1,0.6756861201032375,0.0,0.6756861201032375,
12,5000,0.5,0.32942993489116523,0.0,0.32942993489116523,
13,3000,0.3,0.3491806611544412,0.0,0.3491806611544412,
14,500,0.8,0.5279387334658067,0.0,0.5279387334658067,
15,500,0.9,0.32716028346063264,0.0,0.32716028346063264,
16,750,0.2,0.3879531147189112,0.0,0.3879531147189112,
17,2000,0.3,0.42404334303965,0.0,0.42404334303965,
18,5000,0.7,3.851416332591274,0.0,3.851416332591274,
19,500,0.1,2.6477472299262215,0.0,2.6477472299262215,
20,750,0.6,0.37048957678676486,0.0,0.37048957678676486,
21,4000,0.8,0.3741118034706559,0.0,0.3741118034706559,
22,2000,0.6,4.849361473057171,0.0,4.849361473057171,
23,500,0.4,1.9949166053243388,0.0,1.9949166053243388,
24,2000,0.01,1.6654258974987912,0.0,1.6654258974987912,
25,4000,0.6,0.3658042777534775,0.0,0.3658042777534775,
26,4000,0.2,0.5125011340164102,0.0,0.5125011340164102,
27,750,0.3,1.890134997472561,0.0,1.890134997472561,
28,5000,1,0.5031217636865941,0.0,0.5031217636865941,
29,500,0.5,0.45126269857655266,0.0,0.45126269857655266,
30,1000,1,0.39440211467242214,0.0,0.39440211467242214,
31,3000,0.1,0.49768789487508064,0.0,0.49768789487508064,
32,500,0.6,0.43158725553962735,0.0,0.43158725553962735,
33,5000,0.8,0.3377598284601097,0.0,0.3377598284601097,
34,750,1,7.078580466213671,0.0,7.078580466213671,
35,1000,0.8,0.4345391618178332,0.0,0.4345391618178332,
36,4000,1,0.4743362158455778,0.0,0.4743362158455778,
37,3000,0.7,6.870778642157435,0.0,6.870778642157435,
38,750,0.01,0.35619813258896005,0.0,0.35619813258896005,
39,3000,0.2,7.041100028665455,0.0,7.041100028665455,
40,4000,0.4,0.3062185781307906,0.0,0.3062185781307906,
41,500,0.7,10.025827614601509,0.0,10.025827614601509,
42,5000,0.4,0.429775588554646,0.0,0.429775588554646,
43,3000,0.01,0.5290383625895841,0.0,0.5290383625895841,
44,5000,0.6,0.4443363813207677,0.0,0.4443363813207677,
45,2000,0.5,0.4057744907393883,0.0,0.4057744907393883,
46,3000,0.6,0.35516004609615054,0.0,0.35516004609615054,
47,5000,0.1,0.5037979943735413,0.0,0.5037979943735413,
48,1000,0.6,0.397115860704871,0.0,0.397115860704871,
49,1000,0.01,0.4438177219206158,0.0,0.4438177219206158,
50,4000,0.9,0.3022497765868314,0.0,0.3022497765868314,
51,5000,0.2,1.2903234658201506,0.0,1.2903234658201506,
52,3000,0.9,0.7063702516291729,0.0,0.7063702516291729,
53,2000,0.9,0.3541962129669675,0.0,0.3541962129669675,
54,1000,0.5,0.42540046889867406,0.0,0.42540046889867406,
55,3000,0.4,7.323318909651293,0.0,7.323318909651293,
56,3000,0.5,9.653928362301786,0.0,9.653928362301786,
57,1000,0.3,0.36125085578013116,0.0,0.36125085578013116,
58,750,0.9,0.508434851915215,0.0,0.508434851915215,
59,750,0.1,0.5544745231206718,0.0,0.5544745231206718,
60,4000,0.1,0.7324005068763648,0.0,0.7324005068763648,
61,4000,0.3,3.0383132773999453,0.0,3.0383132773999453,
62,1000,0.9,0.37236280555395423,0.0,0.37236280555395423,
63,4000,0.5,3.2052344337822043,0.0,3.2052344337822043,
64,4000,0.01,0.41817796751959213,0.0,0.41817796751959213,
65,750,0.4,0.3895575440966577,0.0,0.3895575440966577,
66,2000,0.8,0.3534216601069589,0.0,0.3534216601069589,
67,4000,0.7,0.3327693381824567,0.0,0.3327693381824567,
68,500,0.2,0.44756275592317746,0.0,0.44756275592317746,
69,1000,0.1,0.572192379784261,0.0,0.572192379784261,
70,5000,0.3,0.42170067178378967,0.0,0.42170067178378967,
71,500,0.3,0.5265800270239782,0.0,0.5265800270239782,
72,1000,0.7,0.37131546012275246,0.0,0.37131546012275246,
73,750,0.5,0.3327462652999126,0.0,0.3327462652999126,
74,5000,0.01,0.8156482637585017,0.0,0.8156482637585017,
75,1000,0.4,0.3830721405909915,0.0,0.3830721405909915,
76,750,0.8,0.4354257713290787,0.0,0.4354257713290787,
