,Model,Density,speed,peristance,order
0,ACT,0.008,3.1571428819060308,0.45315967839693383,
1,ACT,0.296,4.277380143749685,0.48028512876765644,0.00026752911524256605
2,ACT,0.2,5.442677405870827,0.4797003049474153,0.0053014656259241875
3,ACT,0.496,3.40154532074521,0.48802627321117537,0.0003316730783655404
4,ACT,0.4,3.6437775146437734,0.4844916661912729,0.000574136852053489
5,ACT,0.696,2.851107525925549,0.48701116285335194,0.0002378141126421366
6,ACT,0.6,3.280244689279323,0.48558546321128565,-0.0006379863592401831
7,ACT,0.896,2.7581603374716566,0.48383003656768203,0.00023688479253735983
8,ACT,0.8,2.82559493953989,0.48799321078115115,0.0012330823570432883
9,ACT,1.0,2.413254316556859,0.4842054786398683,0.00016702516347521728
10,PRFDR,0.008,7.436940936770148,0.4514305319212891,
11,PRFDR,0.296,3.8695912960469987,0.4808664231064373,-0.00394365851496457
12,PRFDR,0.2,4.184402720836776,0.48040829588498307,0.009482626568144737
13,PRFDR,0.496,3.0057381496877147,0.490048967157524,-0.0002036713589975544
14,PRFDR,0.4,3.6479180236187485,0.4854042687997528,-0.0035861127460536275
15,PRFDR,0.696,2.4781982179397177,0.4856045866652555,-0.0004916156736239923
16,PRFDR,0.6,3.106064344652454,0.4851657678591969,0.0019319908783649524
17,PRFDR,0.896,2.0270351331604317,0.48188450202293576,0.0014797050191754748
18,PRFDR,0.8,2.1950915162860816,0.48167223535888704,0.00047489213452219463
19,PRFDR,1.0,1.9187957650557539,0.47920135483229115,0.0005422890428514431
