,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,26.0,4800.0,0.3183723663453308,0.009559135013176453,0.8745150590509729,0.40390962889115256
1,34.0,4600.0,0.5413833317542179,0.011096111852719309,1.5846691710763123,0.3311961024978155
2,35.0,4550.0,0.2814312042316662,0.01835130305424058,0.8108432847576725,
3,26.0,5000.0,0.24844842702715536,0.0165218941340321,0.7715257010900535,0.36080793764400654
4,35.0,4600.0,0.41976086913317234,0.009489326034827751,1.2066703128358387,0.3617400115597425
5,31.0,4675.0,0.25339967640720074,0.012243384437125459,0.7588707359483569,0.33429062265690423
6,28.0,4725.0,0.2636867260108594,0.013192729241311641,0.7489963313103571,0.34091397964165393
7,32.0,4725.0,0.2541744128528373,0.012889723989909235,0.7955069878762678,0.34216191405711843
8,35.0,5000.0,0.2788447539726428,0.010349010097199688,0.7574196385482448,0.31323924414057924
9,33.0,4600.0,0.2453089128883771,0.011485317802919915,0.7378194533487269,0.3073151614023877
10,31.0,4625.0,0.3985366198993283,0.013591012763965715,1.0907772514699159,0.5382427841634535
11,29.0,4900.0,0.6818782547894672,0.015185702132548273,1.9217028155391291,0.34913766409832797
12,30.0,4975.0,0.2622994193499942,0.010860622273312671,0.7810745073193823,0.34580664415799267
13,33.0,4775.0,0.2609571686138337,0.016518906913778938,0.7748846463858287,0.367622469451134
14,28.0,4825.0,0.47215539411923396,0.011225163228649263,1.3201358754370498,0.31053645741598995
15,32.0,4825.0,0.26318258681638496,0.005897197319223491,0.7667361064920081,0.4090340115949382
16,34.0,4850.0,0.8181494362482666,0.011832672757107395,2.340968730176349,0.3516174228623379
17,27.0,4675.0,0.27916080765956774,0.017961171210912973,0.7849543644738973,0.3552638292052955
18,29.0,4600.0,0.36735831634239874,0.014067520398333273,1.0144622201318854,0.34440690206913366
19,30.0,4825.0,0.294490895381255,0.017320728834010958,0.8411424029075066,
20,27.0,4525.0,0.7259740389874534,0.008808641300127207,2.1251264290120395,0.4034607738961423
21,29.0,4825.0,0.31872401531640954,0.010954041586423944,0.8972489549327685,0.30828670615911363
22,26.0,4950.0,0.5608301579855133,0.016463404231827194,1.6666188012842291,0.0
23,30.0,4600.0,0.6735563227368943,0.01260933212635716,1.839999106844017,0.33704962782883746
24,30.0,4750.0,0.7206441655716104,0.016327290538562744,2.048051494663453,0.37510235924097396
25,33.0,4875.0,0.25396496130437846,0.013589718901272793,0.793872961954875,0.3284449922887332
26,33.0,4575.0,0.25252680904326447,0.011585872452581839,0.7996548489721191,0.3551400188457791
27,34.0,4750.0,0.2593194412431894,0.00977569798242169,0.8022349003546417,0.4543272593366089
28,34.0,4925.0,0.26814666418091876,0.016817606255451662,0.7807678379650662,
29,27.0,5000.0,0.25545376617220594,0.020874321895852237,0.7451234867847943,0.3828637127662126
30,35.0,4575.0,0.24671096568308978,0.012692980351911081,0.7427203592333435,0.33005889375298497
31,33.0,5000.0,0.3664512720556102,0.010163026174258715,1.1076867860191002,0.3789303034243931
32,35.0,4775.0,0.5993077045271866,0.010977276284817108,1.7123278282620114,0.372780191471551
33,30.0,4850.0,0.7376904054810834,0.015650639800750047,2.077695377654919,0.3261496645394001
34,29.0,4575.0,0.244406904565164,0.006975447905766535,0.756329571482489,0.3437964112357389
35,29.0,4700.0,0.28477039906011964,0.016773859214176932,0.8322025223495478,0.35869068703032125
36,26.0,4775.0,0.26382786812434467,0.01656900908690871,0.777743742127827,0.41239139353288373
37,33.0,4975.0,0.27174436170473615,0.0114130011406757,0.8412955817646632,0.3152494623013093
38,28.0,4525.0,0.6444140607435392,0.01963374536225134,1.8245125233846817,0.34771068963987484
39,32.0,4525.0,0.5549120000621502,0.014253516284801926,1.5088690710508679,0.33984017641234554
40,31.0,4750.0,0.2662725580798449,0.013261542329759103,0.7254009149343745,0.3846694973155513
41,26.0,4525.0,1.2438124574013325,0.0108039918033508,3.416240620669162,0.3032160497783523
42,29.0,4725.0,0.2565307271106768,0.012478217465193559,0.7475340189260063,0.31209610094249834
43,28.0,4700.0,0.4336403655031792,0.012850634172914429,1.2034072454169413,0.3446973193999519
44,33.0,4950.0,0.9375271445579517,0.012769735326700823,2.523353238756496,0.25242300606182905
45,32.0,4700.0,0.6085298273097253,0.011482282241056312,1.6602206598439109,0.33404224703106616
