,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,200,210.0,0.9914422917055059,,68.93032423356168,4.445621753052704,1.4396148179201682
1,400,30.0,3.0252511311389627,,884.5762332006703,13.264999504888301,4.512668293913178
2,900,90.0,2.154109685096457,,310.1622797642487,9.828373602988437,3.1204306811036253
3,900,160.0,1.6290993708042216,,99.27223915819717,7.2303432804635595,2.3183356885831636
4,300,110.0,1.372982145931674,,277.6113282101113,6.809429032626554,2.1319150255772468
5,50,160.0,0.939857179329753,,132.37587490446705,4.775152852398758,1.2978750733652098
6,10000,140.0,2.6724779536497314,,1791.8744775115758,10.178025641336166,5.107447164205581
7,700,130.0,1.60876608595641,,517.0453560975004,7.024229703642806,2.3304880069956617
8,200,80.0,1.4253344298855126,,385.93837802846633,6.535299881721406,2.0725735428196845
9,300,170.0,1.1305652720134793,,223.10282528355907,5.310626766814806,1.6025554641057949
10,500,50.0,2.3113166366038445,,482.63426851702263,9.926870971161701,3.5588033181763215
11,800,190.0,1.4672150096445022,,168.66122936470543,6.559786377028938,2.1475265922094477
12,800,160.0,1.5652989598008253,,357.0692396978742,6.950776512317237,2.3617437574705904
13,900,180.0,1.5643294903388347,,98.38541115810226,7.16432844880085,2.310341769465087
14,10000,20.0,6.370388101842947,,854.9815366529393,26.2315643712044,10.236512098607134
15,10000,130.0,2.770030118670308,,3450.7372045094444,12.354219008751846,5.042481448306929
16,1000,80.0,2.3721389968708158,,601.0262486277668,10.66313604190455,3.5188256703027645
17,500,220.0,1.1898046470145864,,101.4593215319449,5.644872301830677,1.7778669844790373
18,50,20.0,0.9350375162504493,,171.68296507443398,4.516401468638287,1.298542138546396
19,2500,40.0,4.297974099661944,,1525.5635993677708,16.878288017830155,6.388757419998888
20,100,190.0,0.9324100890748551,,95.24813134328075,4.313003298796364,1.3992818255562889
21,200,10.0,1.031528880453009,,137.84480712231272,4.93349792767234,1.4774545443126483
22,2500,120.0,2.749591345083908,,783.7228278954689,11.55672810402845,4.2829482944472215
23,10000,190.0,2.354715619655134,,3790.769203397063,12.187208440621005,4.356183140475587
24,2500,60.0,3.6588184830950223,,1119.1280900841207,14.637840318610774,5.780066926932676
25,800,20.0,4.595396224590558,,1210.485702196169,19.401553540460412,7.116175379555326
26,200,250.0,0.9439848996806794,,236.0822532118406,4.243221280975893,1.3665823995558501
27,500,160.0,1.3063938919217908,,93.70544157591551,5.930009712542958,2.0658138899797494
28,2500,210.0,2.186268792197972,,1283.9931806000086,9.4035140352627,3.256519303304526
29,20000,210.0,2.262353164924295,,809.8127847952567,10.415904366441294,3.759502136056439
30,700,60.0,2.3783348468576198,,683.486197637387,10.36811684224645,3.859069176654295
31,400,60.0,1.938860262171467,,293.4633638965859,8.515027559081682,2.818244773350252
32,400,120.0,1.3746054379529282,,246.16296933689728,6.190495302584909,2.110613984594936
33,500,230.0,1.1458547352221955,,61.18315046957755,5.228234547357726,1.6704583595819558
34,10000,10.0,12.826937864410679,,2533.544362422614,61.526002181808074,21.017583947138956
35,600,20.0,4.279173518809972,,910.3963707221889,18.078985796196047,6.500440144892978
36,600,130.0,1.5523725447585621,,317.4627392304946,7.051753991059614,2.343684919627072
37,600,210.0,1.2851251289692516,,398.41554318165333,6.263923034288746,1.828684665992092
38,1000,130.0,1.8755378532172684,,306.68165197745884,8.051024786897692,2.71951723921624
39,600,60.0,2.240423608466,,496.1227751752219,9.808777924622873,3.2947480725671774
40,5000,220.0,2.320670420779599,,2190.000236555014,10.921518125508456,3.7769612393191054
41,2500,130.0,2.6764458085215623,,692.3696612504257,11.892146130321354,4.088007897417926
42,700,150.0,1.52690565027029,,399.68519712652835,7.162605815160235,2.3308355361280557
43,500,180.0,1.2697618260653285,,200.80674059365185,5.921401607625045,1.870183928247612
44,100,80.0,1.2278027333534969,,174.83240393147886,5.7405807079523505,2.0032599005793736
45,1000,190.0,1.6057303761953075,,201.35381345482998,7.679516599040388,2.409093949246838
46,10000,230.0,2.132432298704662,,383.21946515364357,8.254859213457326,3.899947655385812
47,50,130.0,0.9427375567131407,,82.47718522822082,4.448504282022881,1.4714303456288615
48,800,80.0,2.141816090286907,,271.0957881832836,8.921252577957922,3.109173628877716
49,800,140.0,1.665856675334112,,94.93728849756148,7.543558305961654,2.493239029390502
50,50,110.0,0.9970583819988439,,120.35603504916745,4.808812559675749,1.441210639878223
51,20000,180.0,2.4063780127712797,,2785.9860642158633,10.611631634959632,4.287494748684904
52,400,100.0,1.490464713282784,,253.59672727109333,6.404897967690858,2.2813826534123662
53,10000,210.0,2.2515498581846116,,1197.8341625167975,8.545048098845495,4.18899323111688
54,5000,160.0,2.649477880674787,,659.1613050799692,8.899037745385494,4.550507924189915
55,400,200.0,1.1518369268015616,,192.2428775509895,5.294469165525954,1.6367091740366964
56,100,250.0,0.91009516544894,,153.85023413455258,4.428069696350084,1.3537781658616612
57,10000,110.0,2.9530214181098455,,5670.06138365342,14.287033120756075,5.360171538440637
58,700,120.0,1.6903954763133142,,150.7447169013812,7.506374324161635,2.5777471074282947
59,500,40.0,2.6401444430473786,,369.2834948698652,11.276825644614945,4.027917673392362
60,400,40.0,2.491212464677743,,623.5029642588387,10.188817628450758,3.69220831902154
61,600,200.0,1.2950105862313603,,188.83906120946844,5.915827805562588,1.8443967231505547
62,300,10.0,1.377992768108155,,129.1450048815173,7.07506945742962,1.9904497031871673
63,700,40.0,2.922063618796328,,300.150328656532,11.382561482064645,4.355905688791183
64,50,30.0,1.010907476435908,,127.02113225417128,4.859138507238815,1.4653480467371784
65,500,120.0,1.518373095558681,,252.25240992440573,7.140515425640982,2.249993950103198
66,200,60.0,1.6661261262966351,,286.4466734821466,7.618176444012001,2.3903456293101577
67,20000,100.0,3.026877755118562,,6336.003312646094,14.931400675620829,6.12516831813373
68,1000,230.0,1.4504726105622092,,416.79458268815824,6.10157830962658,2.175709697236352
69,100,60.0,1.3637418797322036,,252.15551402235678,6.166883826557431,2.0481345643989277
70,5000,200.0,2.429054340423178,,2598.270366922719,10.337857254897704,4.2049888393071315
71,400,160.0,1.2377879241966099,,216.35408431455429,5.536880211540889,1.7922151250611704
72,800,130.0,1.7227189770173827,,412.66626231290235,7.493427371997166,2.5500653954538537
73,200,130.0,1.1365146224687102,,265.35180246069757,5.043135776336539,1.6710416062167741
74,2500,230.0,2.0859006858768407,,503.375839757208,8.42026280404995,3.321189606515995
75,400,230.0,1.1238181960320985,,117.1542615157224,5.405590682351861,1.7658220362574102
76,600,30.0,3.3237515859721403,,1445.9865281655643,14.336587434673675,4.921582036637649
77,50,150.0,0.9235532091628049,,191.25866658696626,4.389734174374178,1.3596069347085127
78,300,180.0,1.0894722155287648,,220.6659162041979,4.9365347765751695,1.6126911064171432
79,1000,110.0,2.033166072696203,,274.4879388843169,8.535137477335107,2.9928529036798337
80,1000,140.0,1.8189938022101695,,436.4267085066022,7.653274895086054,2.762055170186246
81,700,70.0,2.177337355900455,,615.4375969087362,9.89843466359843,3.463855534935815
82,700,200.0,1.3589798682666276,,216.10505823294955,6.040122985436777,2.00076048602786
83,600,240.0,1.2031201822837756,,144.88262050241778,5.545003775944431,1.705764325709143
84,500,140.0,1.4139399549434233,,258.80012519557874,6.727127524298298,2.1407582411458397
85,200,200.0,0.9963961648929922,,153.61945935437703,4.55356664682685,1.471375084540914
86,50,50.0,1.0800737266471476,,140.32022121386342,5.185275695851297,1.5091258150481024
87,400,10.0,1.8900863467656241,,127.93241752551184,8.715483750004998,2.860890157879395
88,200,170.0,1.0452628649619502,,113.28628038534526,4.868064057436255,1.4944873089842043
89,900,10.0,6.535657564805509,,839.0631498551622,29.512197001652897,10.112897139323634
90,5000,130.0,2.87367227552038,,1104.5810310126544,11.706338344629163,5.249088663178433
91,50,170.0,0.9347173668297319,,166.55319308238356,4.741605587108145,1.2712942300003658
92,900,20.0,4.79164526194273,,878.4847469928147,21.826235598024805,7.297181243846726
93,10000,180.0,2.380327073221966,,1905.0806161424734,8.55075583899176,4.543822377277111
94,700,190.0,1.3897482290128165,,170.54119650183796,6.230290282788622,2.02885704934001
95,100,120.0,1.0957032406850098,,155.50771723807307,5.358897830785658,1.6395083737492253
