,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,5000,20,0.002101863359476391,0.2083524516511305,0.003639179254718363,0.003640298363540454
1,2500,200,0.0012954811390751937,0.007803427673170319,0.0021891993154516407,0.002187868938726986
2,2500,100,0.001365949959704885,0.010404172433967811,0.0022850890323092457,0.002283795054381972
3,1000,20,0.0008679493577851522,0.04296279821406154,0.0015007295121003538,0.0015014234117602175
4,10000,50,0.0018123992773283993,0.02377280540651208,0.003384191321565167,0.0033397094979572143
5,500,20,0.0007417172399185431,0.024326333933216947,0.0012027910367184008,0.0012031811932116914
6,5000,75,0.001478518816851671,0.021322661413035425,0.00236214314014203,0.0023626734182641343
7,1000,50,0.0014765706734560173,0.09259196383873508,0.002412901209210314,0.002412869415247248
8,10000,100,0.0012101671739328725,0.027600533954534885,0.0021386851711236348,0.0021349479036678926
9,2500,50,0.0015305977747119908,0.0317655019556861,0.0024659876737923234,0.0024643519469005125
10,10000,200,0.0009047972766089492,0.01281400784939802,0.001767634597366747,0.0017594452130093006
11,5000,200,0.0012070435188403096,0.010389051650364228,0.0022079581252113898,0.0022039244108936116
12,5000,100,0.0013968136961807626,0.02118193069613502,0.002257992059834668,0.0022567588458165515
13,500,200,0.0007726595547049316,0.009800318859725512,0.0014254781766790102,0.0014218387661643433
14,500,75,0.001163608802248741,0.025780226154935415,0.0019142912741738664,0.0019142967392835883
15,1000,100,0.00111767944073507,0.016278825368018945,0.0018613601485146332,0.0018626834213212827
16,10000,75,0.0015509816585614273,0.039948994831177254,0.0027906267936843618,0.002791538902886167
17,5000,50,0.0018107132924149274,0.02109292681459466,0.002954715420182849,0.0029558462000762054
18,10000,20,0.0025609137744049973,0.028725610649696965,0.004374824207445161,0.004376441160425141
19,500,100,0.000937023391633719,0.053796438899797606,0.0017143288895220576,0.0017157748318220476
20,1000,75,0.0012796134183610114,0.005435022118712052,0.002125168769891528,0.0021261145827710863
21,2500,20,0.0018969571904443657,0.221182358921409,0.0032516892362919143,0.0032517991128573347
22,1000,200,0.0008704549640721112,0.02008694638340049,0.0014508947395905582,0.0014503183524021686
23,2500,75,0.0015112559398607235,0.03658575127691006,0.002595258170991471,0.0025959252663134897
24,500,50,0.0009592345390157886,0.06914648785118797,0.0016424123482650609,0.0016418750758132724
