,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,2500,50,0.00016510375953706418,0.40594784853300564,0.0014547484593061797,0.00045622562216174334,0.0004554806032851213
1,10000,100,0.0010415067708162622,0.5348502215319637,0.06197515436823219,0.0029726756862402315,0.002971407765168988
2,500,50,0.00016657886100592453,0.3914812215747584,0.0030199945405848896,0.0004556028104505622,0.00045481790480014544
3,2500,100,0.0004668715176038974,0.7341512441416482,0.05973906480373802,0.0013708130831719294,0.0013703442593247437
4,5000,25,0.00022580779162516366,0.403300218614932,0.0018120704668691625,0.0007451304676922778,0.0007449998887747802
5,10000,50,0.0010790191486323853,0.804532661167482,0.03266467557231885,0.003040377808107261,0.003039222289995457
6,10000,25,0.0018914893224910982,1.7134154160394295,0.029256863555737637,0.005386062965507428,0.005385054271555886
7,5000,50,0.001091742051551153,1.3777674679430922,0.0419462353576497,0.0030551702470841494,0.003052580692558653
8,500,250,0.00020565110744192846,0.40615917988550976,0.004553564478257565,0.0006151909757519686,0.0006150006409099398
9,5000,250,0.0008957964537962908,0.47976918433972066,0.03138872769045831,0.0027067913916760094,0.0027008861106583696
10,500,10,0.00020431747167332632,0.4038733591774693,0.0015426854660778105,0.0006196414642884911,0.0006193966695454152
11,1000,25,0.00015376856819494138,0.39844817029910273,0.00253587195775572,0.0004090768108618361,0.00040908030919598585
12,2500,75,0.00024226910629156564,0.42077826035785126,0.018490900269940404,0.0007681874794372097,0.0007679481633370213
13,2500,10,0.0001889199390431823,0.40328406108509196,0.000570460700152036,0.0005530550312945227,0.0005517869404255496
14,500,75,0.00019972020574907378,0.39977018226934347,0.0018258724746381362,0.0005945298416982473,0.0005937308282766204
15,10000,250,0.001032197379572587,0.46541258862897716,0.0528734462605388,0.0030147183537467194,0.0030150528460852373
16,500,100,0.0002227385379549328,0.40195365351578427,0.007053960010666349,0.0007065945274886812,0.0007058014618860796
17,5000,100,0.0007136595352161964,0.5864415818390107,0.04986938373332956,0.001926286624300814,0.0019262653160223302
18,1000,50,0.00017576207509838795,0.396608880834757,0.00420648628464998,0.0004990205295128045,0.0004987700597465099
19,5000,75,0.0008208735001892155,0.7108688549497695,0.04568636447717252,0.002407028003399118,0.002404339144798339
20,2500,25,0.00016227910618588537,0.40175295739186606,0.005210752755118857,0.0004447737092567619,0.00044457210292739644
21,5000,10,0.0002425578029033925,0.40220799353746806,0.002314087970800624,0.0008227391963178212,0.000822558799257889
22,1000,10,0.00016430318184301626,0.4038165351147372,0.0007709975214724639,0.00044771547256051774,0.0004471855137328035
23,2500,250,0.00043691658163058693,0.4839441124859215,0.01655764317477066,0.0012666152849078393,0.0012658703874471515
24,10000,10,0.0001929762566877365,0.40746901668021146,0.0017483017368668374,0.0005627163464555393,0.0005628273412265147
25,1000,250,0.00018480431021662222,0.4244209074105808,0.0077276853179639475,0.0005900305001226999,0.000589976768749215
26,10000,75,0.0010676775392223239,0.6063526914080436,0.020735139369862605,0.003114079545351191,0.0031135309591910614
27,500,25,0.00013917232711440817,0.4001196597388458,0.0009182753547626192,0.0003473236470773315,0.00034744304459670324
28,1000,75,0.00013985391551328221,0.3956131669854561,0.0010613687559131472,0.00034348977907163966,0.00034324834633063923
29,1000,100,0.00023403032306841887,0.40232349406621665,0.004903068652611648,0.0007578661333715587,0.0007578297488449812
