,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,4000,500,0.0003956419818041118,0.0,0.0003956419818041118,
1,500,750,0.0002059285427130222,0.0,0.0002059285427130222,
2,4000,50,0.0001886741764217172,0.0,0.0001886741764217172,
3,750,1000,6.977850429753939e-05,0.0,6.977850429753939e-05,
4,750,250,5.173360816132432e-05,0.0,5.173360816132432e-05,
5,5000,10,0.0001897140595803157,0.0,0.0001897140595803157,
6,3000,50,2.492703329262427e-05,0.0,2.492703329262427e-05,
7,2000,100,2.1057116849738366e-05,0.0,2.1057116849738366e-05,
8,500,50,4.752509803269353e-05,0.0,4.752509803269353e-05,
9,4000,100,0.0009243234566953568,0.0,0.0009243234566953568,
10,5000,250,0.0010388153056171234,0.0,0.0010388153056171234,
11,5000,1000,0.001103873266415763,0.0,0.001103873266415763,
12,2000,1000,0.00047787170030349634,0.0,0.00047787170030349634,
13,2000,250,0.00033729480669044494,0.0,0.00033729480669044494,
14,4000,250,0.000839916892624842,0.0,0.000839916892624842,
15,4000,1000,0.0009358429459458104,0.0,0.0009358429459458104,
16,750,750,4.65540543876071e-05,0.0,4.65540543876071e-05,
17,3000,1000,0.0007049505689239197,0.0,0.0007049505689239197,
18,500,250,3.7188614409024726e-05,0.0,3.7188614409024726e-05,
19,3000,10,4.300693063018444e-05,0.0,4.300693063018444e-05,
20,500,1000,4.120676115166353e-05,0.0,4.120676115166353e-05,
21,5000,50,0.0012875511618680386,0.0,0.0012875511618680386,
22,2000,500,0.0003655758660443407,0.0,0.0003655758660443407,
23,750,100,3.649896283603431e-05,0.0,3.649896283603431e-05,
24,3000,100,0.0007582065734223951,0.0,0.0007582065734223951,
25,750,500,0.00011065473259944903,0.0,0.00011065473259944903,
26,1000,10,0.00016458766177131768,0.0,0.00016458766177131768,
27,500,10,3.749123334060015e-05,0.0,3.749123334060015e-05,
28,1000,750,6.629029313108366e-05,0.0,6.629029313108366e-05,
29,4000,750,0.0001160156622755565,0.0,0.0001160156622755565,
30,2000,750,7.918460261268467e-05,0.0,7.918460261268467e-05,
31,3000,500,0.00044307631302065414,0.0,0.00044307631302065414,
32,5000,750,0.0001534833895339561,0.0,0.0001534833895339561,
33,4000,10,0.00015835584355818578,0.0,0.00015835584355818578,
34,2000,10,0.00022264387798422153,0.0,0.00022264387798422153,
35,5000,100,0.0009392640616561562,0.0,0.0009392640616561562,
36,1000,1000,5.3384338087677926e-05,0.0,5.3384338087677926e-05,
37,1000,250,2.58448020611203e-05,0.0,2.58448020611203e-05,
38,2000,50,4.6682700254801096e-05,0.0,4.6682700254801096e-05,
39,1000,500,7.648991021740613e-05,0.0,7.648991021740613e-05,
40,500,100,0.00017456226839878165,0.0,0.00017456226839878165,
41,1000,100,4.702551033378703e-05,0.0,4.702551033378703e-05,
42,500,500,5.110367669442691e-05,0.0,5.110367669442691e-05,
43,750,10,4.809743604982518e-05,0.0,4.809743604982518e-05,
44,750,50,4.138747700364231e-05,0.0,4.138747700364231e-05,
45,5000,500,0.000985085214411895,0.0,0.000985085214411895,
46,3000,750,0.000648987059021041,0.0,0.000648987059021041,
47,1000,50,3.980367855117811e-05,0.0,3.980367855117811e-05,
48,3000,250,0.0001802758385859343,0.0,0.0001802758385859343,
