,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,2000,10,2.719309057699629e-05,0.0,2.719309057699629e-05,
1,2000,75,3.930446744252723e-05,0.0,3.930446744252723e-05,
2,4000,75,0.0011072486974199954,0.0,0.0011072486974199954,
3,3000,50,3.577454911454039e-05,0.0,3.577454911454039e-05,
4,5000,500,0.0007063388868900611,0.0,0.0007063388868900611,
5,500,100,2.402346278744579e-05,0.0,2.402346278744579e-05,
6,4000,10,4.12205784391908e-05,0.0,4.12205784391908e-05,
7,5000,200,0.0008719271865292304,0.0,0.0008719271865292304,
8,750,50,4.406490870723356e-05,0.0,4.406490870723356e-05,
9,3000,150,0.0007009782923088742,0.0,0.0007009782923088742,
10,5000,10,0.0001790636566477487,0.0,0.0001790636566477487,
11,1000,100,3.650723785790961e-05,0.0,3.650723785790961e-05,
12,750,150,4.7057073664086285e-05,0.0,4.7057073664086285e-05,
13,2000,150,4.661467987674471e-05,0.0,4.661467987674471e-05,
14,2000,100,2.7366338747517872e-05,0.0,2.7366338747517872e-05,
15,500,150,0.00018377624026830893,0.0,0.00018377624026830893,
16,5000,100,0.0009456942660935568,0.0,0.0009456942660935568,
17,1000,50,2.224616720435121e-05,0.0,2.224616720435121e-05,
18,3000,75,0.00020191106646217947,0.0,0.00020191106646217947,
19,4000,50,7.541950076388983e-05,0.0,7.541950076388983e-05,
20,4000,500,0.0005739789313776541,0.0,0.0005739789313776541,
21,4000,200,0.0009034615913224613,0.0,0.0009034615913224613,
22,1000,200,0.00011994279979846803,0.0,0.00011994279979846803,
23,500,10,2.5121207518276352e-05,0.0,2.5121207518276352e-05,
24,750,200,2.5631458537570926e-05,0.0,2.5631458537570926e-05,
25,1000,75,3.704437604074396e-05,0.0,3.704437604074396e-05,
26,5000,50,0.0011908524644482622,0.0,0.0011908524644482622,
27,750,75,2.2563329244260823e-05,0.0,2.2563329244260823e-05,
28,3000,500,0.00012601602180529385,0.0,0.00012601602180529385,
29,2000,200,0.0004619565513024748,0.0,0.0004619565513024748,
30,3000,200,0.0007404025643957768,0.0,0.0007404025643957768,
31,500,75,3.99243697467659e-05,0.0,3.99243697467659e-05,
32,2000,50,3.39148692068918e-05,0.0,3.39148692068918e-05,
33,2000,500,9.098297335516515e-05,0.0,9.098297335516515e-05,
34,5000,150,0.0007360370455842934,0.0,0.0007360370455842934,
35,750,500,0.00022524894033286105,0.0,0.00022524894033286105,
36,1000,10,4.2191679945056954e-05,0.0,4.2191679945056954e-05,
37,3000,10,3.8093949906886164e-05,0.0,3.8093949906886164e-05,
38,500,50,6.064557981853974e-05,0.0,6.064557981853974e-05,
39,4000,100,0.0009434789486119634,0.0,0.0009434789486119634,
40,4000,150,0.0007186306488121213,0.0,0.0007186306488121213,
41,1000,150,2.8678250852290385e-05,0.0,2.8678250852290385e-05,
42,750,100,0.00016502569043094393,0.0,0.00016502569043094393,
43,750,10,0.00010055461014111152,0.0,0.00010055461014111152,
44,500,200,3.8905309096865095e-05,0.0,3.8905309096865095e-05,
45,500,500,2.7621724436863442e-05,0.0,2.7621724436863442e-05,
46,3000,100,0.0008345332579001205,0.0,0.0008345332579001205,
47,1000,500,4.436463862793865e-05,0.0,4.436463862793865e-05,
48,5000,75,0.00021785296586516577,0.0,0.00021785296586516577,
