,Lambda,Perist,speed,persistance,global_order,lcl_order
0,2000,0.0001,2.200038286571075,0.011555519126029215,5.239321590122209,0.9197384013809213
1,500,1,3.565878138091802,0.014905630558134257,8.29356473770036,2.5970349066290765
2,750,0.001,0.8895913595508518,0.01241485438154257,1.9825045602663962,0.4733907491206716
3,750,0.00001,0.5018821232501708,0.015039626711971163,1.0030216453368281,0.6206512766096328
4,1000,0.001,1.0969236607158497,0.009161985535132167,2.488640347966581,0.5424160411941207
5,2000,0.000001,2.256038789918077,0.013711431864617554,5.409685627937667,1.009061295801737
6,750,0.000001,0.5228362717088011,0.012482990730653329,1.1027956940734764,0.5689468135937934
7,500,0.01,1.8897333799328297,0.01129341174676477,4.34354968470175,2.8864612746181577
8,2000,0.00001,4.375075664744001,0.013702304590778909,10.25358812588237,0.6853226675938631
9,500,0.000001,1.3153279428692792,0.016558121452610958,3.0181623649873917,0.74569517821826
10,2000,0.1,2.0333674839004856,0.01583617929838844,4.673803580239175,0.9346841872844927
11,3000,1,0.9994326878662808,0.018301180585436,2.2492930496672634,1.640019783847466
12,2000,1,4.132689113421798,0.012991699182519984,9.604796297092854,2.898412816576904
13,750,0.0001,2.4077105478908467,0.008608212817173973,5.56414154827298,2.550113112020991
14,4000,0.000001,4.898900076934441,0.014213374135163348,11.427236745677828,3.358076169218664
15,500,0.1,2.0043722669708988,0.005928818628085921,4.88296077541585,0.5392283685311807
16,3000,0.001,1.7243890415738552,0.009442772649703564,4.062431262429029,0.6258169016838026
17,4000,0.00001,0.573540735808574,0.01606292956015931,1.2074134567348191,0.6118368331081081
18,2000,0.01,3.6167848468267882,0.011394178447390125,8.284714256872459,2.816145514164121
19,500,0.001,1.2700826417225977,0.01479525107641935,2.8840668131777996,2.0974013152383613
20,5000,1,2.1626855550691064,0.007885945446266493,5.029760377352029,0.6997552269652207
21,1000,1,1.1812091353812126,0.009569397969649627,2.7569307832987335,0.716062116889701
22,500,0.00001,0.758954524764072,0.016168561344726266,1.5750291485538854,1.1260847309800186
23,3000,0.1,1.6540850047789017,0.009952999615995476,3.8020525145730004,1.9199155644281665
24,5000,0.001,1.0878073025990402,0.012361826910013269,2.354055579572381,1.0726644902594524
25,1000,0.00001,4.276669538208283,0.024856102852441924,10.128690518175102,4.0762710724241025
26,750,1,1.0940565457208844,0.014014362633081614,2.3666214134223593,0.8701724261945045
27,4000,1,0.5823174616825582,0.01028962200549527,1.3064926090149194,0.5516568707960875
28,750,0.01,0.5937084017296211,0.01434444234365757,1.1810042889390404,0.6322263323896814
29,1000,0.000001,2.367856010184549,0.008494044185059755,5.606825483231532,1.2161949434801256
30,3000,0.01,2.319925235909494,0.017913430184611563,5.465715712033857,0.6695588653485698
31,4000,0.001,2.088561198284135,0.010227549756296651,4.762667509243026,1.020818780511714
32,3000,0.000001,3.107785898329924,0.010877472830247481,7.220932745394024,3.163730984389275
33,5000,0.1,3.6142934455971254,0.011833996854000444,8.375433059149449,2.002513519829287
34,1000,0.01,1.0633767946747628,0.0172787660542612,2.3125142627101822,1.0665012906616353
35,2000,0.001,2.6861851285355174,0.01848334044150749,6.106882467202549,0.8530178896302452
36,3000,0.0001,0.5329448563629148,0.01650898431314093,1.1170133566857814,0.5457887607023668
37,1000,0.0001,0.48371079871055417,0.008527429702137495,1.0490112685687487,0.6612930826181931
38,750,0.1,4.538483263887656,0.014303251223850991,10.65962024691427,0.592073818323203
39,500,0.0001,0.7000268609976038,0.01172917705771313,1.4968704313229895,1.5877313299455926
40,4000,0.1,3.9612188608433105,0.02603660160147832,9.63496964076779,3.614343451955046
41,5000,0.000001,5.466789436086266,0.007807845156344006,12.502730024696326,1.6056798550584725
42,5000,0.0001,2.2447405162409138,0.0074648219413636805,5.168115772136416,0.5336493262857296
43,4000,0.01,2.4589154310605488,0.008346253006363505,5.61643582419037,2.7693103266021084
44,5000,0.00001,1.9246931124766924,0.014493830295495802,4.512401728548546,0.5614936264094895
45,1000,0.1,2.1376298439825017,0.013589519903169084,5.4474395174188315,2.1978161848904083
46,4000,0.0001,0.40596433339666455,0.01350625792476943,0.87644940989112,0.4991265050370768
47,5000,0.01,1.2566820437089978,0.015390350456564242,2.8779119994051854,1.2817297367792397
48,3000,0.00001,0.8373633074555357,0.008861893716183719,1.6596922151286178,1.0321509791085053
