,Lambda,Max_act,speed,persistance,sum_order,global_order,lcl_order
0,56.0,400.0,0.434079953235432,0.6499670159169203,83.8831771487873,1.4730502173901936,0.5560815409266086
1,54.0,700.0,0.40174701128879164,0.5791586579581083,52.540131825866034,1.3913550840064042,0.5637324585488677
2,76.0,800.0,0.39318390696826905,0.5969618807189253,13.810785461920105,1.3190390609830702,0.5211133594226778
3,72.0,700.0,0.3862690992198104,0.6146907920659784,68.37280384099255,1.2661842364055873,0.5367620540003699
4,58.0,600.0,0.3841800956164503,0.6012168191845084,52.667339227866854,1.2741559706151655,0.5682546584262833
5,70.0,900.0,0.4028318690878975,0.579226296740184,35.296171605682275,1.4088787519857855,0.5293562236658558
6,52.0,300.0,0.47158308334096566,0.6970291076485909,98.5333064037703,1.6781152813792752,0.5875526386864418
7,90.0,400.0,0.4851071412732279,0.7503213502067533,154.02690930317345,1.6892723080634962,0.6191896754301053
8,68.0,900.0,0.3801574518386826,0.5821502730258519,39.80442568923915,1.2365474729931791,0.4494003177812679
9,76.0,100.0,0.7070160024824954,4.336847751030479,159.7889561424812,2.350925103346915,1.0134388477791185
10,58.0,200.0,0.5431550845488762,0.8718849348741357,176.66923701164393,1.941690090170394,0.6882014964438234
11,66.0,900.0,0.3776864030288112,0.5787207902530109,96.0705711488761,1.2171245582741506,0.5477148222813392
12,62.0,300.0,0.4438162462856275,0.7414654130387859,56.83555364146748,1.3986683312836456,0.6150550064378358
13,76.0,600.0,0.3971107694259654,0.6419119954804189,58.807467106321816,1.260459500839385,0.5301230013658861
14,62.0,1000.0,0.3734281464556421,0.5655811946198049,26.819952369009727,1.1907955544892381,0.5574304578615568
15,56.0,900.0,0.3748956664483856,0.5692387798440296,46.10186333046782,1.2492790818410213,0.5057619623875989
16,80.0,300.0,0.49408273317320067,0.812395453526003,67.5475729964378,1.6536555236557082,0.6468762342148967
17,74.0,400.0,0.43614575749953893,0.6991294956293896,131.54387205292392,1.4819151075633803,0.6165838363082413
18,84.0,400.0,0.44318330828150637,0.7601599281372693,16.995093833571044,1.4087282574825524,0.6210210670873212
19,76.0,200.0,0.5301002275562059,0.9740294647594772,50.81372445901718,1.7204873367846363,0.7389882537525353
20,64.0,500.0,0.4061490222464732,0.645190082175223,76.3915622762508,1.3278417503253652,0.5389415644586711
21,76.0,300.0,0.500615266608365,0.7934531368350795,88.31874536093946,1.8729620005127374,0.6395232169746948
22,54.0,200.0,0.5022025920616859,0.8445163243834296,120.82882999842725,1.6556623342948222,0.6492391453265952
23,52.0,200.0,0.501837567109104,0.8370424941901511,106.9756815712161,1.6783465537304265,0.6617366654868716
24,62.0,400.0,0.4196625573929996,0.6728587916587422,83.70114578721792,1.3500381940604282,0.5404182443243144
25,54.0,800.0,0.43379888732431343,0.5762559087702495,42.74314102733605,1.7123144820691276,0.5517619807936681
26,72.0,200.0,0.5227731218604628,0.9481927831525429,75.02235519748426,1.7504110517258458,0.7355785451800567
27,78.0,1000.0,0.3801417598710695,0.6000751707026952,97.86609786969724,1.2267193833139791,0.534726629755789
28,86.0,900.0,0.4215240589900303,0.6015536759105261,74.41918419729384,1.5482466750160613,0.6794829563139463
29,64.0,600.0,0.3860194119954116,0.6131130917693162,132.7911409190878,1.2485255120352459,0.5522478578571962
30,66.0,400.0,0.4651189935438747,0.6888587005036453,73.89353923983923,1.7132535135987292,0.6060718722752249
31,72.0,800.0,0.4106322891451939,0.5876159466173714,24.00751152694917,1.4621796777049225,0.5665008669700429
32,86.0,700.0,0.4166320781673191,0.6333021852258136,68.74641421784821,1.3798124507612561,0.5707798978231002
33,72.0,300.0,0.4567693466438551,0.8002308950191672,150.4291442126286,1.514447295249849,0.6429801885319438
34,76.0,700.0,0.3901792975684302,0.627302903980816,106.6225167109239,1.2403928839089438,0.5794956511362055
35,88.0,900.0,0.42487871754963047,0.6002617187243773,113.49140865871557,1.5498837432833465,0.685525176016924
36,50.0,400.0,0.4126803083930035,0.6599081772584195,107.82095468234428,1.3657242252836976,0.6166967983023657
37,54.0,600.0,0.39187637065614006,0.6019550734983945,50.11676645884902,1.2418430376708396,0.5665441109861215
38,78.0,700.0,0.4313701943552121,0.612928350878631,43.35285237126317,1.595195581116852,0.5422931174552198
39,60.0,600.0,0.3864516063722106,0.6071934830774852,43.6425327466219,1.226740440722949,0.5428851831009277
40,64.0,200.0,0.5079495009951173,0.9054004575271692,138.77614281103098,1.6913416373281775,0.6961622965430687
41,90.0,1000.0,0.3915791568912619,0.5969304774293069,45.06207872818651,1.2833983011034618,0.5247082861574979
