,Lambda,Max_act,speed,persistance,global_order,lcl_order
0,1100,56.0,0.5478372209095627,0.5590551471243649,5.12030879831617,0.2612765545046888
1,500,68.0,0.5751609791359807,0.9430281177464753,3.8162462186825965,0.19628960651266023
2,1000,44.0,0.5431252563307708,0.5313405758031154,5.415642110746108,0.2895749509791216
3,50,78.0,0.4553018636623868,0.030487067705849257,1.4094399234250043,0.08379888054964882
4,200,52.0,0.8345282411752086,0.45143847472831944,3.3905454253720233,0.1490512348078112
5,500,40.0,0.5706169919245084,1.05393499716799,6.20134748922734,0.2448104426325644
6,1200,54.0,0.6010535107054897,0.5308099489904866,5.4950371415304575,0.3018551997466385
7,1500,74.0,0.6065461780733565,0.7435384209239176,4.9941833667974915,0.282021257085059
8,100,52.0,1.1324869867593412,0.027602314721139956,2.964845715482547,0.12189700575621042
9,1800,50.0,0.7767600870364811,0.8875668714374253,6.77156574160006,0.3578746977286929
10,300,50.0,0.6206090623081599,0.8881853276411895,4.111261550375451,0.21135866580319593
11,300,64.0,0.8585732879133873,1.2318752091775271,3.866126923280738,0.19700128689024485
12,1800,64.0,0.687511145632918,1.0804650362486763,6.100990546878378,0.2761665348490378
13,900,78.0,0.6082685186557806,0.4001057705098635,4.7262730996991005,0.22553086861539112
14,1900,56.0,0.6189945802571832,0.6021341035144908,6.822187795597576,0.3364688873700192
15,100,76.0,0.5463586870780999,0.1592113576395974,1.9045752311127584,0.08586282584738311
16,100,56.0,0.8119899927209927,0.028138135201616645,2.3296851059721697,0.11582349462357422
17,1500,58.0,0.7091780316887518,0.5910519563517344,5.697497433672637,0.27248235892605116
18,1200,72.0,0.5446936034948139,0.4312677276146124,4.891041796621864,0.22075547391177336
19,1700,70.0,0.5931533479668133,0.7162137636578757,6.2633184700365625,0.2557346491462005
20,400,80.0,0.6544454772907945,0.346615894485612,3.651312816633958,0.17472335899043773
21,1600,78.0,0.6497154698598122,0.5137115863691484,5.534390589564151,0.23068524598290777
22,900,40.0,0.7586959077632507,0.6781873538157634,6.549840624257301,0.3389211243585604
23,1900,68.0,0.7576904685403616,0.5989207754390082,6.107176741357808,0.27921784624287604
24,1600,48.0,0.5219896192856724,0.6382168639251317,6.5282846961684795,0.2838656048239371
25,300,80.0,0.720199319116728,0.4944209851942664,3.4163702110259253,0.1667565193577879
26,1800,80.0,0.48503545259157527,1.009583473287412,6.216174762087027,0.2557048680410051
27,100,66.0,0.8719979522249178,0.11049986640207783,2.472725970423649,0.07918761789512016
28,600,62.0,0.6421468828097242,0.6078014104347566,4.676111591649697,0.21081391580956013
29,800,46.0,0.6926967683586127,0.715906676851328,5.5444876330592585,0.3183439296312016
30,1300,50.0,0.662464094666288,0.8299531805555151,6.093936389540636,0.2866080149557089
31,1500,62.0,0.4478808780420065,0.519249058905395,5.582879839944313,0.2967582462208009
32,1500,60.0,0.6476091413750988,0.5530621763388682,5.5825110829053175,0.30192503962294315
33,800,56.0,0.7365194518551592,0.5084709771445116,5.530043951458395,0.24245364393565302
34,1500,48.0,0.5572396514060844,0.5869034315371003,6.142409928989397,0.34734572823574833
35,1700,64.0,0.49723738632590764,0.7433405483552624,6.047183911442859,0.29863841137066055
36,1400,56.0,0.6164392974903511,0.6269642847900169,6.563592939597049,0.29319559458628697
37,1400,76.0,0.597239910414167,0.5734113569558331,5.262619562044841,0.22343905271103984
38,600,48.0,0.5366104014221612,0.9053419756193392,5.074105462898094,0.276546711785385
39,1200,64.0,0.6898040310532662,0.6762408285192101,5.952050585178434,0.26156406332963156
40,1700,40.0,0.5245576897374445,0.43965589070823474,7.282181368346416,0.3443071997704689
41,100,74.0,0.8471574487929758,0.1598459381135467,2.548286906175454,0.13764174878368104
42,50,58.0,0.6620706689859223,0.01541094218248102,1.7980295420252357,0.1254702532576115
43,200,70.0,0.8904109284211752,0.7752650753918411,3.437173416870169,0.14679426844801868
44,1800,62.0,0.803917762874536,1.1660052003264656,6.021546874442212,0.3170973682752952
45,800,40.0,0.5945550711366053,1.205795744525016,6.0453967775215345,0.28565368722159595
46,300,62.0,0.7689635644296201,0.7019458561020672,3.7710241764923693,0.19727164064235428
47,200,58.0,0.6936370063548525,0.39012333409692995,3.516591554868908,0.15581749915201262
48,2000,76.0,0.5570040660361832,1.2456779868650265,5.096972840446998,0.3027668463517632
