,Seeded_cells,Free_voxels
0,0,262144
1,10,260646
2,20,259148
3,30,257647
4,40,256150
5,50,254659
6,60,253156
7,70,251659
8,80,250163
9,90,248672
10,100,247169
11,110,245663
12,120,244175
13,130,242680
14,140,241172
15,150,239671
16,160,238191
17,170,236684
18,180,235204
19,190,233711
20,200,232230
21,210,230719
22,220,229225
23,230,227735
24,240,226233
25,250,224742
26,260,223257
27,270,221777
28,280,220290
29,290,218787
30,300,217294
31,310,215808
32,320,214315
33,330,212815
34,340,211334
35,350,209843
36,360,208355
37,370,206854
38,380,205361
39,390,203889
40,400,202393
41,410,200931
42,420,199421
43,430,197945
44,440,196466
45,450,194981
46,460,193502
47,470,192021
48,480,190552
49,490,189083
50,500,187616
51,510,186157
52,520,184643
53,530,183173
54,540,181710
55,550,180243
56,560,178781
57,570,177332
58,580,175864
59,590,174420
60,600,172941
61,610,171519
62,620,170084
63,630,168613
64,640,167162
65,650,165738
66,660,164255
67,670,162807
68,680,161369
69,690,159929
70,700,158454
71,710,157003
72,720,155594
73,730,154128
74,740,152675
75,750,151303
76,760,149864
77,770,148472
78,780,147071
79,790,145635
80,800,144228
81,810,142824
82,820,141426
83,830,140092
84,840,138671
85,850,137321
86,860,135877
87,870,134566
88,880,133227
89,890,131845
90,900,130458
91,910,129094
92,920,127764
93,930,126457
94,940,125196
95,950,123872
96,960,122584
97,970,121344
98,980,120086
99,990,118834
100,1000,117567
101,1010,116372
102,1020,115135
103,1030,113932
104,1040,112710
105,1050,111532
106,1060,110313
107,1070,109167
108,1080,107994
109,1090,106839
110,1100,105648
111,1110,104471
112,1120,103306
113,1130,102167
114,1140,101012
115,1150,99937
116,1160,98802
117,1170,97676
118,1180,96587
119,1190,95475
120,1200,94397
121,1210,93277
122,1220,92189
123,1230,91104
124,1240,89996
125,1250,88920
126,1260,87867
127,1270,86768
128,1280,85691
129,1290,84615
130,1300,83554
131,1310,82549
132,1320,81493
133,1330,80431
134,1340,79408
135,1350,78386
136,1360,77342
137,1370,76295
138,1380,75245
139,1390,74244
140,1400,73226
141,1410,72185
142,1420,71174
143,1430,70160
144,1440,69195
145,1450,68212
146,1460,67203
147,1470,66214
148,1480,65266
149,1490,64289
150,1500,63298
151,1510,62361
152,1520,61401
153,1530,60410
154,1540,59460
155,1550,58521
156,1560,57583
157,1570,56669
158,1580,55712
159,1590,54809
160,1600,53891
161,1610,52964
162,1620,52061
163,1630,51116
164,1640,50204
165,1650,49338
166,1660,48420
167,1670,47541
168,1680,46703
169,1690,45798
170,1700,44898
171,1710,43995
172,1720,43101
173,1730,42198
