,Seeded_cells,Free_voxels,Cell_volume
0,0,262144,7463.0
1,10,254681,14940.0
2,20,247204,22403.0
3,30,239741,29862.0
4,40,232282,37316.0
5,50,224828,44769.0
6,60,217375,52198.0
7,70,209946,59680.0
8,80,202464,67089.0
9,90,195055,74417.0
10,100,187727,81786.0
11,110,180358,89038.0
12,120,173106,96387.0
13,130,165757,103393.0
14,140,158751,109571.0
15,150,152573,115969.0
16,160,146175,120758.0
17,170,141386,124882.0
18,180,137262,127131.0
19,190,135013,128517.0
20,200,133627,128925.0
21,210,133219,128624.0
22,220,133520,128361.0
23,230,133783,127950.0
24,240,134194,127670.0
25,250,134474,127535.0
26,260,134609,127436.0
27,270,134708,127393.0
28,280,134751,127496.0
29,290,134648,127891.0
30,300,134253,128451.0
31,310,133693,129084.0
32,320,133060,129732.0
33,330,132412,130548.0
34,340,131596,131371.0
35,350,130773,132248.0
36,360,129896,132952.0
37,370,129192,133617.0
38,380,128527,134155.0
39,390,127989,134675.0
40,400,127469,135357.0
41,410,126787,135907.0
42,420,126237,136568.0
43,430,125576,137185.0
44,440,124959,137971.0
45,450,124173,138631.0
46,460,123513,138765.0
47,470,123379,138738.0
48,480,123406,138725.0
49,490,123419,138746.0
50,500,123398,138801.0
51,510,123343,138883.0
52,520,123261,139108.0
53,530,123036,139422.0
54,540,122722,139931.0
55,550,122213,140581.0
56,560,121563,141113.0
57,570,121031,141489.0
58,580,120655,141653.0
59,590,120491,142041.0
60,600,120103,142930.0
61,610,119214,144155.0
62,620,117989,145244.0
63,630,116900,145921.0
64,640,116223,146942.0
65,650,115202,148678.0
66,660,113466,150684.0
67,670,111460,152771.0
68,680,109373,154868.0
69,690,107276,156917.0
70,700,105227,158774.0
71,710,103370,160273.0
72,720,101871,161289.0
73,730,100855,162276.0
74,740,99868,163856.0
75,750,98288,165487.0
76,760,96657,167354.0
77,770,94790,169165.0
78,780,92979,170785.0
79,790,91359,171927.0
80,800,90217,173293.0
81,810,88851,175178.0
82,820,86966,177062.0
83,830,85082,178988.0
84,840,83156,180826.0
85,850,81318,182636.0
86,860,79508,184317.0
87,870,77827,185714.0
88,880,76430,186575.0
89,890,75569,188001.0
90,900,74143,189890.0
91,910,72254,191788.0
92,920,70356,193342.0
93,930,68802,193638.0
94,940,68506,194193.0
95,950,67951,195730.0
96,960,66414,197581.0
97,970,64563,199373.0
98,980,62771,200055.0
99,990,62089,200469.0
100,1000,61675,201495.0
101,1010,60649,203061.0
102,1020,59083,204787.0
103,1030,57357,206404.0
104,1040,55740,207895.0
105,1050,54249,209471.0
106,1060,52673,211143.0
107,1070,51001,212794.0
108,1080,49350,214467.0
109,1090,47677,216016.0
110,1100,46128,217658.0
111,1110,44486,219303.0
112,1120,42841,220933.0
113,1130,41211,222562.0
114,1140,39582,224158.0
115,1150,37986,225525.0
116,1160,36619,226610.0
117,1170,35534,228082.0
118,1180,34062,229826.0
119,1190,32318,231618.0
120,1200,30526,233397.0
121,1210,28747,235128.0
122,1220,27016,236458.0
123,1230,25686,237097.0
124,1240,25047,237926.0
125,1250,24218,239044.0
126,1260,23100,240500.0
127,1270,21644,242159.0
128,1280,19985,243802.0
129,1290,18342,245545.0
130,1300,16599,247314.0
131,1310,14830,249096.0
132,1320,13048,250822.0
133,1330,11322,252590.0
134,1340,9554,254363.0
135,1350,7781,256028.0
136,1360,6116,257744.0
137,1370,4400,259369.0
138,1380,2775,260805.0
139,1390,1339,261771.0
140,1400,373,262119.0
141,1410,25,
