,index,Lambda,Max_act,speed,persistance,order
0,0,500,875,0.03540813064683912,0.36241778444060524,-0.014677348226528539
1,1,1000,1000,0.11341707432212761,0.463458981243955,0.0012135500425943476
2,2,750,1000,0.0874688233259078,0.3734048923060942,0.0006125760722964359
3,3,2000,500,0.3886600029787636,12.225078491770258,0.0034141666807586428
4,4,5000,1000,0.460050575673791,8.754390756480747,-0.0007983551474774857
5,5,2000,625,0.2748003776778678,12.354897924321548,-0.0014766405994457298
6,6,2000,750,0.28636723618968535,10.955843027318991,-0.0003380756296649403
7,7,3000,750,0.4377574567728903,8.389616737050213,-0.0006950526730756402
8,8,3000,1500,0.31693617134342056,2.866395871103758,0.00048355877431063984
9,9,4000,1500,0.36349619717337084,5.857785772311981,0.0073095557366242665
10,10,3000,625,0.43362660254823926,13.916695750353908,0.00024890807937562
11,11,750,2000,0.11452619316418582,0.9007356826677775,-0.0009291295189503265
12,12,750,1500,0.10086343621968932,0.4513355318415628,0.0006256273959662156
13,13,4000,2000,0.3952089998821963,0.7498485581886556,-0.000732513714586858
14,14,3000,500,0.5128901188633639,12.288583310339785,-0.0017313251521039387
15,15,1000,750,0.09664748121378128,0.39824808231198455,-7.4539401497414e-05
16,16,1000,625,0.050378055947628765,0.4788761101106189,-0.007896252833437098
17,17,5000,625,0.5662196056028955,11.006838505356187,0.0002470593893489161
18,18,1000,1500,0.1297744881219502,0.48008972915731574,0.0002835760077450764
19,19,500,1000,0.0664007877970771,0.3481006319574089,-0.0030483863136179044
20,20,1000,500,0.03874686360453232,0.34497846980877034,-0.012731372002549524
21,21,5000,1500,0.4043593892718291,4.383070954146502,0.00020230520819797016
22,22,2000,875,0.19907643517406626,17.04237188159144,0.001958697694519877
23,23,2000,2000,0.14868688550987358,2.5914280330222583,-0.0006432022263229304
24,24,4000,1000,0.40541319184818153,9.206675127480054,-0.0016726148043329024
25,25,500,625,0.02104554276692745,0.34424020382137105,-0.021357156256770045
26,26,500,1500,0.01474218840310511,0.3714319672624399,-0.003380807316759722
27,27,500,750,0.021496782375031404,0.3291841913948924,-0.024560732739906298
28,28,5000,2000,0.3467012616142385,4.984878973953496,-0.00051394505940384
29,29,500,500,0.01470460205738669,0.3596641668420396,
30,30,1000,2000,0.20347402218872224,0.49283932815720033,-0.00017205577383578593
31,31,3000,875,0.39058799079952405,9.878301874898527,0.002709848180800171
32,32,2000,1000,0.25790673165023764,9.275371630769651,-0.00039206524773430115
33,33,750,500,0.022211327342674992,0.3266308289490266,-0.02452927504257868
34,34,4000,875,0.4627567258457708,7.826038858657539,0.0017755625929524968
35,35,750,875,0.05880672965287935,0.3459210845263917,-0.002809160297296609
36,36,4000,500,0.519140740949907,11.281722921014898,-0.0019505202945285887
37,37,3000,2000,0.2880687142155065,1.9716572230702658,0.0010290906534592937
38,38,750,750,0.057016545956183724,0.3567639683559529,-0.004644168482960284
39,39,750,625,0.05473953885422482,0.4466197206401087,
40,40,1000,875,0.08592425042822145,0.5964490955761119,-0.000891222211831524
41,41,4000,625,0.5342201068251026,11.49849033700441,-0.0014332459298169538
42,42,4000,750,0.48292155627595795,9.542112474981645,-0.0003327961897512025
43,43,5000,500,0.5917278504815211,9.188646864439374,-1.8733621146972127e-06
44,44,5000,875,0.48728292923484984,9.904418668651875,0.0038939361833997487
45,45,3000,1000,0.372707388943444,4.946359876870404,0.0026615874417800175
46,46,500,2000,0.10186853335583604,0.4409029903480017,-0.00023497447942147647
47,47,5000,750,0.5008843138867148,10.545814031672009,-0.0024248768373684644
48,48,2000,1500,0.21431536169526025,3.2846893458650324,-0.0009568948592392842
