,Lambda,Perist,speed,persistance,global_order,lcl_order
0,5000,50,6.623208553851704,0.00922492715191786,9.153704716848152,8.249365979113618
1,2000,200,4.4728511342667625,0.01221546355997943,6.3728470701940685,1.6219022488533301
2,2000,20,5.592537798770182,0.007929492031553291,8.173361333188478,5.714876430418432
3,50,75,3.654577276535229,0.005518586902459647,5.441551211995657,3.735001699254667
4,20000,50,8.741776589582381,0.012741345423204943,12.002066931636698,9.709847189394674
5,5000,200,5.3929442418925895,0.007559303125034216,7.605153983946841,8.000830276674387
6,50,200,4.37819978144863,0.015436344316936232,6.811952815278624,4.808217596667806
7,20000,200,7.922617288619776,0.010771490602836366,11.167556511781669,11.976888236948083
8,5000,20,6.910267605540437,0.002841655969099883,9.231910908989459,8.604859582616887
9,5000,75,6.284785493384647,0.008082143638072541,8.69953236659196,9.335806705787578
10,100,100,4.394466023019782,0.013675494113650703,6.459610465196815,3.4737573649298774
11,1000,75,4.643041429889033,0.006344686333841785,6.77121102182457,5.083117592298742
12,100,20,4.394071946994624,0.019745798685248624,6.400607684032055,3.134814236688529
13,10000,50,7.489710666289066,0.0158358872601343,10.082796750899693,10.253632097570376
14,100,200,3.652391994793503,0.00742594584126625,5.856515324733154,4.474187745157862
15,20000,20,8.608494403018051,0.01395547811212611,11.313199963553332,8.166896144033037
16,20000,75,8.119284908839598,0.009835911394275372,11.458238087555738,10.981218560266427
17,10000,75,7.315829105574476,0.0048306131255559295,10.029270777211527,6.835969563211349
18,50,20,3.942198163388253,0.0059433551635659,5.867743695965946,2.1866990462524223
19,500,50,4.342316084204096,0.00833485457565687,6.6713075556168295,2.7471152191516843
20,500,20,3.9689356458547866,0.008470827352560304,5.703566625154326,6.775903698904935
21,10000,20,8.100019660840605,0.009092753081136438,10.89490041370061,8.618709100146214
22,500,200,3.308028607340471,0.01894021925514159,4.759795209219222,4.2227919414904695
23,100,50,4.127595937233307,0.016671648290037172,6.177287274315232,4.44552701678501
24,1000,100,4.125384631013063,0.012234259967410564,6.083610455344197,3.26096620418414
25,2000,100,5.914105981967724,0.014183624962890605,8.346075666011574,5.753268959123188
26,10000,100,7.625860043295064,0.0028848260498411608,10.821650476547317,5.7811383904218845
27,1000,50,5.571000530954289,0.010298336598614196,8.03642954579555,5.744859734481645
28,20000,100,8.372582596005874,0.011297202960013108,12.193253207242826,12.515269125685988
29,50,50,3.9490316809680457,0.012034961800956347,5.922447667247114,
30,5000,100,5.860106495969087,0.012116756749053855,8.088646538943003,5.441016575512276
31,500,100,4.90068535101269,0.018952643017655247,7.096553463949873,5.035493521839431
32,2000,50,4.772779205228954,0.019282795641823784,6.751759196600371,6.772887482162656
33,50,100,3.501945602312963,0.021796996481843283,5.057904842441264,3.47795722038621
34,500,75,5.026862960771508,0.019068960506154215,7.475979466997395,6.810269594342481
35,100,75,4.243720811002588,0.01790893505611347,6.351918809231003,7.891864859134354
36,1000,200,3.8843371586784636,0.009457713377992854,6.024855509129221,7.232470674971769
37,2000,75,5.2458484348877805,0.009438811115942903,7.689979428769121,6.77316711427572
38,1000,20,4.620794307005065,0.013413656950170856,6.587367622659486,5.829627628231678
39,10000,200,6.6349189662289865,0.008346221861279684,9.230823373883991,6.2530613388387
