,Lambda,Perist,speed,persistance,global_order,lcl_order
0,2000,0.4,2.672227701783109,0.013574776422833031,4.06003781534863,1.0460091690891047
1,5000,0.9,2.676429909688194,0.010272824262513526,4.152897010751767,
2,500,0.9999999999,2.989530470354466,0.009408015366632464,4.769581866167785,1.8074758127725166
3,2000,0.7,3.3916765554990524,0.0034579923060746704,5.244488831656551,
4,100,0.9999999999,3.6271741735451006,0.005518861257666194,5.699212722777708,4.249575732581532
5,2000,0.2,3.454084894201308,0.01020080645181526,5.403488993738949,4.3794331109452385
6,1000,0.001,2.9029525475160702,0.0010500369138423632,4.227577517324599,
7,50,0.3,3.178378716621461,0.010949050604821793,4.88796922138197,3.919459721300885
8,1000,0.2,3.0213416142370937,0.004948926065330101,4.50330462190103,0.25625161662518847
9,2000,0.1,2.897030896820672,0.010960805140537825,4.4275882173052725,2.50434988330891
10,5000,0.5,3.3595318878336156,0.00693740983941831,5.0077335823872025,0.8018400157723681
11,50,0.1,2.6279523095553468,0.017060844851154583,4.2676734047133005,1.6880885529055782
12,50,0.2,3.6880791629011678,0.008079186917641019,5.733445355753167,2.12701066421672
13,500,0.8,1.7766002112848347,0.00599037501051247,2.7522643567991643,
14,500,0.9,3.8433749113557107,0.006953220312172887,5.986245672902782,1.7589778064344272
15,2000,0.3,3.1032331285587826,0.02192442047103025,4.918991489658402,3.3392927912849797
16,10000,0.4,1.8474751529512898,0.012606479055362864,2.8562893000922736,
17,5000,0.7,3.7849107930114414,0.004645470616380374,5.943336943374059,4.2796853644016775
18,500,0.1,3.551241784715449,0.00763283615721506,5.375851709320241,5.021080826619853
19,20000,0.9999999999,3.3757134321759654,0.008519441049847852,5.109039701725035,1.507604940672932
20,10000,0.7,2.891003664083438,0.00760302272551382,4.475853365632778,1.6706831754190339
21,100,0.001,2.478236108730511,0.0056835272782424385,3.9559821904108077,5.466182837115114
22,2000,0.6,3.3657173933701237,0.010968307728140864,5.382989627562904,4.747252999200835
23,500,0.4,4.211217422907146,0.01044121739783881,6.536341966613585,
24,20000,0.4,2.343516446746003,0.020047347638611455,3.644540609107065,1.6569960070687921
25,100,0.5,3.847853016336078,0.01410482503103211,5.896029089569465,
26,500,0.001,4.322077408893309,0.004517385919508,6.414926760263355,
27,50,0.001,3.218040389648139,0.0053463746809034205,4.889540532238966,
28,10000,0.001,4.360928078027756,0.011719051845811766,6.718251588526569,4.87449324657673
29,100,0.6,3.3330162978944236,0.011987707358706776,5.221704373959398,5.465303179054282
30,1000,0.9999999999,4.111477005321385,0.008239973682731178,6.137791110547427,4.707348558172533
31,500,0.5,2.8113884659574655,0.014286258921550492,4.431389829645563,0.0
32,50,0.8,4.236066789158601,0.005963387172435936,6.524465958286666,7.193449505043049
33,20000,0.7,2.74728380040176,0.006627783472723174,4.199532500204434,4.344707014253374
34,100,0.3,3.6875065926104114,0.012646095279200673,5.79384587231272,7.696211052043538
35,5000,0.001,2.4173544332201167,0.0026368299804852436,3.9540091178422925,
36,100,0.9,3.936739191523831,0.011623161534030245,5.955815013125728,2.638907562532655
37,500,0.6,2.7437003503710735,0.007308343744262651,4.246280636595108,
38,10000,0.9,3.6353847593224526,0.002224853243134815,5.6428812243732365,1.3450070962771101
39,50,0.6,2.05559703962597,0.008278229424703807,3.2121857620041907,1.4281391568195214
40,5000,0.8,2.9353405008697138,0.008558530281168538,4.551677335784499,
41,20000,0.8,3.332798124935937,0.019635268877724862,5.048019914931445,0.0
42,1000,0.8,2.668961639595402,0.013817464890745756,3.975252980786519,
43,20000,0.1,3.4875771793224573,0.016585750707192575,5.446271760165198,5.987652958134078
44,5000,0.9999999999,3.884308403418027,0.020000144762855353,5.827068903050535,10.451872031734204
45,100,0.8,3.474355825064854,0.0139958921292743,5.262179306457471,3.3533228827480555
