,WS.pkl,power.pkl
0,"(2.038184391117775, -0.4974530116389363)","(0.9603576330801484, 0.3037040339976443)"
1,"(2.1442199781709594, -0.43518921466428184)","(1.0769686146295734, 0.26516520062509286)"
2,"(2.1684028158891806, -0.3958073805082481)","(1.14395677185204, 0.2399949723116061)"
3,"(2.159809895404922, -0.32303931856889995)","(1.2640799941309573, 0.20154471274121005)"
4,"(2.044753402610808, -0.22757812371212438)","(1.3112812007445627, 0.18254772695011473)"
5,"(1.8551961676564617, -0.10557751560733905)","(1.3480063872078931, 0.16606944580963007)"
6,"(1.5624208125458587, 0.04239995033544569)","(1.4000091682888944, 0.1435281565611299)"
7,"(1.0746924718100375, 0.2636061393363995)","(1.478233589354479, 0.11238268343191378)"
8,"(0.7068534541303448, 0.4099604267450904)","(1.639534368793455, 0.04750931741711346)"
9,"(0.6092150271426061, 0.447631303170313)","(2.150743620179488, -0.14211487880775436)"
10,"(2.7067382016860817, -0.5083383230394062)","(1.0871262550025165, 0.41945566474024487)"
11,"(2.8409893957571604, -0.4686639157253709)","(1.4666656607783062, 0.33601534303030434)"
12,"(2.9322730060419566, -0.4036984875485269)","(1.7312852701880121, 0.2843254910094084)"
13,"(2.974583817917643, -0.3385248620242366)","(1.9839559755775529, 0.22067352388555767)"
14,"(2.899717956121484, -0.235315981755104)","(2.2017268906497702, 0.17356858374316142)"
15,"(2.6291286246047645, -0.09119238400612537)","(2.280572330023157, 0.14807512458701827)"
16,"(2.140940368214322, 0.09083430520301514)","(2.4434710944763736, 0.11016509877441627)"
17,"(1.3867911787663931, 0.3211674961021843)","(2.6066819344095045, 0.059197809445319605)"
18,"(0.7484855997890373, 0.49911762221472883)","(2.778158912542132, 0.011765723443415935)"
19,"(0.6134049715417348, 0.5348325792310632)","(3.087576277808292, -0.09549655706608792)"
20,"(2.909582945532156, -0.6182127816962553)","(1.5286267678527001, 0.46237746619930087)"
21,"(3.4827512661086812, -0.514641468075063)","(1.724085352293736, 0.42563683318410206)"
22,"(3.828477479601485, -0.4030679509470828)","(2.288609493701996, 0.3321874892947144)"
23,"(3.8250165434820653, -0.33200107941305645)","(2.557641691963778, 0.28950821750940153)"
24,"(3.8574382130009433, -0.2441568575488678)","(2.6853077613869596, 0.2586142039846445)"
