,BA.pkl,geom.pkl,ER.pkl
0,"(1.0109950522310864, 0.2866772834106723)","(5.8967768322730505, -0.4752238827615685)","(0.6645525229846164, 0.425834455109108)"
1,"(1.1868965917607417, 0.3996057564735442)","(10.203814950798016, -0.40582406984417213)","(0.6906082605380947, 0.5285168340997345)"
2,"(1.5250235534316265, 0.4641026009185791)","(15.39150358075924, -0.33843256687477463)","(0.7429795324863533, 0.5843380839831391)"
3,"(1.7824613310435424, 0.4988077361904082)","(21.470736420501773, -0.33090807573219344)","(0.7629455533856105, 0.622703021836239)"
4,"(1.8739353834074728, 0.4725584230558541)","(29.13407001417628, -0.5392619663976448)","(0.812694650465281, 0.645048303429291)"
5,"(1.2873272588276405, 0.42973777959134907)","(11.650794200576245, -0.3673227513227473)","(0.6852472397050559, 0.5500180700845528)"
6,"(1.5488766974992627, 0.5130878304211851)","(19.934004849094634, -0.2784058608058573)","(0.7035115281929676, 0.6215948448330952)"
7,"(1.975029441217255, 0.5764643013277417)","(29.962644528965438, -0.19658510378510602)","(0.7187610455986919, 0.664318360589392)"
8,"(2.429906518980466, 0.6066689708270758)","(44.03229112594831, -0.17374391534392014)","(0.7858409194201983, 0.6957310775807157)"
9,"(2.250239137844914, 0.5858802236126139)","(57.02683009540491, -0.3794516890516891)","(0.7710719004810255, 0.7085612102023024)"
10,"(1.9790061838893436, 0.6116685360677114)","(40.13834066653229, -0.1509988660289393)","(0.726490276311991, 0.6746695879661492)"
11,"(2.369961228752484, 0.6643885184568085)","(68.10428219494054, -0.06382803645328383)","(0.7487378632146909, 0.709520329874793)"
12,"(3.1336068239915806, 0.7245377390126229)","(103.30288343477987, 0.05473357124660394)","(0.783722098502238, 0.7398969063825593)"
13,"(3.6231368891114344, 0.7558372806258861)","(148.14750881274895, 0.11323993332009337)","(0.8529150121726206, 0.7634114386839639)"
14,"(3.5796635128360594, 0.726883635004887)","(195.95036012627705, -0.0559835988292902)","(0.8265721632691977, 0.7781685415967244)"
