,n_edges,std_edges,params,type
0,736.0,0.0,100N_0.125V/E,power
1,730.1,2.3000000000000003,100N_0.125V/E,power
2,723.8,4.935585071701227,100N_0.125V/E,power
3,722.4,2.244994432064365,100N_0.125V/E,power
4,722.7,3.1,100N_0.125V/E,power
5,722.1,3.7,100N_0.125V/E,power
6,723.9,3.6180105030251086,100N_0.125V/E,power
7,723.9,3.935733730830885,100N_0.125V/E,power
8,729.3,2.758622844826744,100N_0.125V/E,power
9,733.9,0.8306623862918073,100N_0.125V/E,power
10,475.0,0.0,100N_0.1875V/E,power
11,473.2,0.9797958971132713,100N_0.1875V/E,power
12,470.4,1.2806248474865698,100N_0.1875V/E,power
13,469.1,2.2113344387495983,100N_0.1875V/E,power
14,470.0,2.449489742783178,100N_0.1875V/E,power
15,469.5,2.3769728648009427,100N_0.1875V/E,power
16,470.0,1.8439088914585775,100N_0.1875V/E,power
17,470.7,0.9,100N_0.1875V/E,power
18,471.9,1.7578395831246947,100N_0.1875V/E,power
19,473.4,0.8,100N_0.1875V/E,power
20,384.0,0.0,100N_0.25V/E,power
21,382.7,1.2688577540449522,100N_0.25V/E,power
22,382.6,0.66332495807108,100N_0.25V/E,power
23,381.5,1.4317821063276353,100N_0.25V/E,power
24,380.6,1.42828568570857,100N_0.25V/E,power
25,381.3,2.0024984394500787,100N_0.25V/E,power
26,380.3,1.9,100N_0.25V/E,power
27,381.4,1.1135528725660044,100N_0.25V/E,power
28,382.4,1.2000000000000002,100N_0.25V/E,power
29,383.6,0.48989794855663565,100N_0.25V/E,power
30,291.0,0.0,100N_0.3125V/E,power
31,291.0,0.0,100N_0.3125V/E,power
32,290.4,0.66332495807108,100N_0.3125V/E,power
33,290.2,0.8717797887081347,100N_0.3125V/E,power
34,290.1,0.9433981132056604,100N_0.3125V/E,power
35,289.6,1.2806248474865698,100N_0.3125V/E,power
36,289.9,1.1357816691600549,100N_0.3125V/E,power
37,290.2,1.1661903789690602,100N_0.3125V/E,power
38,290.6,0.66332495807108,100N_0.3125V/E,power
39,290.9,0.30000000000000004,100N_0.3125V/E,power
40,196.0,0.0,100N_0.375V/E,power
41,196.0,0.0,100N_0.375V/E,power
42,196.0,0.0,100N_0.375V/E,power
43,196.0,0.0,100N_0.375V/E,power
44,196.0,0.0,100N_0.375V/E,power
45,196.0,0.0,100N_0.375V/E,power
46,196.0,0.0,100N_0.375V/E,power
47,196.0,0.0,100N_0.375V/E,power
48,196.0,0.0,100N_0.375V/E,power
49,196.0,0.0,100N_0.375V/E,power
50,1344.0,0.0,176N_0.125V/E,power
51,1334.8,2.039607805437114,176N_0.125V/E,power
52,1331.1,3.5341194094144583,176N_0.125V/E,power
53,1325.2,5.173006862551025,176N_0.125V/E,power
54,1323.6,3.8000000000000003,176N_0.125V/E,power
55,1326.8,3.9446165846632044,176N_0.125V/E,power
56,1326.6,5.642694391866353,176N_0.125V/E,power
57,1330.0,4.0,176N_0.125V/E,power
58,1334.2,3.4292856398964493,176N_0.125V/E,power
59,1340.0,2.569046515733026,176N_0.125V/E,power
60,855.0,0.0,176N_0.1875V/E,power
61,852.9,1.445683229480096,176N_0.1875V/E,power
62,850.4,2.244994432064365,176N_0.1875V/E,power
63,848.0,2.569046515733026,176N_0.1875V/E,power
64,848.1,2.507987240796891,176N_0.1875V/E,power
65,849.5,2.1095023109728985,176N_0.1875V/E,power
