,Cellid,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
0,8,1438.4233459128218,64312.34701061465,-0.0005944688103341267,0.00015667036365832375,2000,2000,0.22485153001415903
1,0,0.0,0.0,,,5000,155,0.0
2,110,4.734030593663762,133.77106922416866,-0.0013293569129607693,3.01376208758169e-14,3000,4000,0.2696632519610045
3,130,99.4278658172707,187.22644022348734,-0.0005410127569409977,0.029152553509518616,10000,261,0.950946380700876
4,3,13.531736372760484,323.8528993927968,-0.0011021005395790502,2.2441174529956853e-05,7000,3000,0.28375295910204634
5,212,124.2030671888095,230.99828207001397,-0.0014370384761975274,1.941235553702324e-09,5000,894,0.9243594685024064
6,69,104.25015457402358,452.5923932155487,-0.0018296403659377237,1.4953276289869713e-10,5000,366,0.7045710027384615
7,60,29.627928305148092,46.18599730053418,-0.0018056313046737934,6.298795783648596e-16,10000,261,1.0658699935514238
8,99,8.818213278748038,64.89993234684918,-0.001667471522800166,1.81370342817551e-06,5000,577,0.4733715617322931
9,196,15.925096940237541,93.18658093045144,-0.0005531993198568443,0.1847485210982786,10000,472,0.5888160968377607
10,220,8359.063125201374,38496.88794832836,3.624223305269941e-05,0.9147181115356882,4000,366,0.6539671505699783
11,194,20.819692680419543,297.9202140205684,-0.00139487190092526,9.608664514859575e-06,8000,683,0.3795590152885621
12,68,5.8757119586303785,85.16834242716507,-0.0008300113094800592,8.242738631491731e-05,4000,5000,0.38342937891951334
13,30,1.717138265278583,122.82419462056407,-0.0023940887609374254,1.9735393181428625e-13,3000,3000,0.1683193570344135
14,57,104.03522989951716,223.99826548651757,-0.0019237888719558836,6.199044788413067e-12,10000,894,0.829722320932997
15,195,0.002330741399710144,3.5546668622116995,,,2000,50,0.0010493087863285475
16,178,11.39770302837125,1582.042347975838,-0.0022125153717951667,7.695583782937016e-14,10000,4000,0.14452667309988695
17,104,128.91091465799917,197.7859197073467,-0.0008683270492916323,0.00019848151601640132,8000,50,1.2604787105061137
18,215,0.19279739007884739,34.85102015510713,-0.017025486174865507,0.4083566954727582,1000,366,0.0076277552323975725
19,9,0.7506616771442426,90.23285084754858,0.0005047114832297106,0.2710053347078437,1000,788,0.03662808481523914
20,34,1.4430414197095125,66.44823877945021,0.0001425261035035876,0.8031077070696192,1000,894,0.04453606211170826
21,113,38.394767147602515,286.9726284456707,-0.0019958436151843216,4.314223726988065e-09,5000,472,0.5588510039504977
22,90,15.424065095200147,83.52153993667122,-0.0006160499102792469,0.10190633994798018,7000,683,0.6079543503494037
23,99,0.00012919883396488984,2.1890000564578274,,,3000,50,0.0002193501237588264
24,24,5.149823658547113,31.429352422141676,-0.001752040963113014,9.326674710677825e-11,5000,683,0.5594207111683334
25,194,21.685834243025052,223.8116796678087,-0.0007984075612500827,3.6593009824184625e-05,8000,5000,0.4938449403665587
26,93,0.003786477382813449,0.8948442114482009,,,3000,50,0.001038488196749493
27,101,53.97351095096673,95.81824337309102,-0.0006159011366487177,0.006666897551978695,2000,577,0.7337689288273266
28,65,120.34580548983489,355.5152505663847,-0.0027984259630679784,7.249717677793209e-21,7000,261,0.9191936762183448
29,89,362.18361114744835,244.38154313744835,-0.0009823287523627008,6.488189722967236e-06,6000,366,1.550939141905258
30,51,88.45265016193618,549.9444167263516,-0.0004399167191565061,0.007664648223242224,9000,5000,0.6137475113104062
31,62,0.4015142467815474,402.13878188711965,-0.0005740857352704821,0.0020813266906136137,2000,577,0.047648018690834834
32,59,3.2198043344079212,203.6908495478794,-0.011477441691040226,0.699135849686919,1000,366,0.01344259962429516
33,60,0.04723877599017163,2.3323138121022997,-0.013748976884037038,0.27030558389306203,5000,50,0.013874343634307796
34,178,24.835693413052073,50.383709263459004,-0.0005944616628498235,0.0302619103828836,6000,577,0.7091214714410725
35,21,2.8574216636754635,44679.855819116,-0.012705416942287273,0.0024522223823494156,6000,472,0.0037236390076085825
36,134,92.77139858794138,105.99038676334402,-0.000847544184819637,0.000323893850351471,5000,788,1.1425182907809603
37,20,2.863885832711705,107.74619443050386,-0.000780569042587488,1.654881506082989e-05,9000,4000,0.2366594178483431
38,180,97.59747083492248,17210.065749614936,0.0005061119693160229,0.9291116797086119,1000,683,0.015356846730220091
39,160,6.809751159588923,54.52093791739359,-0.001960868004663977,1.2103010980991731e-12,6000,577,0.4297607329047899
40,205,796.5828194402226,2536.6595210040955,-0.0016170234379991862,2.834760280462108e-10,6000,788,0.7877964549548935
41,188,4.134300840208898,51.289631601850836,-0.0005235048484191288,0.052300710556966924,10000,894,0.40406689437443843
42,77,0.000305163817390387,1.184350482274536,,,1000,155,0.0005381514392913178
43,79,15.275904255702411,77.47546498366214,-0.0011433699605907278,1.1119892360513426e-05,8000,1000,0.5797756007867134
44,194,29.51397388061607,61.296962093498436,-0.0003968795406560452,0.09953185204944238,6000,577,0.9459719588147688
45,199,55.04590707116151,201.0612009416064,-0.0025593602230003804,3.4971442049971975e-24,9000,3000,0.6894951693031927
46,71,16.145153927760088,11.955678980221977,-0.0013206115736372481,1.5455206472267962e-08,3000,788,0.8794353397579563
47,31,0.011141436273358438,65.7628400378161,-0.004207981057287805,0.7122084777966442,1000,577,0.002129614091575619
48,25,18.344933916043978,164.30077760501396,-0.0010604707555944117,0.009871124399317952,5000,894,0.4571287825793739
49,98,127.36526554478002,655.5095637292715,-0.00030698324246359026,0.1951368180543922,7000,1000,0.6836737875119672
50,27,23.748764174679753,51.4670819434447,-0.0004968099334958628,0.15336426545346632,9000,472,0.8156146203390343
51,26,63.7878911771645,174.58851593529576,-0.0015678764506073183,1.6985890433259794e-09,8000,472,0.8161801761808428
52,55,23.88082445743192,45687.73649488496,0.00012737897796589066,0.42567538229182267,1000,5000,0.035780057445761244
53,17,38.57665491949279,13.870067044846184,-0.0012728257222598422,5.252307417725038e-10,2000,261,1.3942754829348387
54,137,3843.667370386438,108328.57828061708,-0.00016469078632004027,0.38878986570918184,4000,5000,0.2688290466881308
55,62,100.26893389761986,43.77933311738914,-0.0006515727275280445,0.0046441391701134895,6000,894,1.8077237880263708
56,200,13.122963528666421,367.6013286672851,-0.0014388163205881082,2.7665244512834767e-05,2000,788,0.27556852632258066
57,150,88.9074498993052,280.4274184327989,-0.0015266733489473993,1.0384842364970022e-09,5000,261,0.8100897164101717
58,12,7.630833358279925,857.5546514207828,-0.0033847856431506447,5.1550785148519304e-15,2000,1000,0.1551871858421751
59,218,34.22215226957024,105.18872646228796,-0.0007009443339331707,3.337933097665635e-05,10000,5000,0.7841347589957349
60,12,47.8142688550496,70.42714264286079,-0.0017165794186721867,1.3064303084595327e-16,4000,155,1.0265700794898087
61,158,0.0,0.0,,,5000,472,0.0
62,183,58.59504325706372,213.71304071805045,-0.0004962905655452936,0.040533522713314354,6000,788,0.7484798348347911
63,179,2.3295649708194706,81.9814058863751,-0.0015188995738526256,4.683785777350194e-16,2000,577,0.24836374942265493
64,68,27.9772755195356,66.05833657818171,-0.00046879266330549055,0.12340503116213879,3000,366,0.692019595919728
