,FILE,VOLUME
0,LLAMBDA_1357MAX100.pkl,1.0967254638671875e-05
1,LLAMBDA_1357MAX101.pkl,1.0251998901367188e-05
2,LLAMBDA_1357MAX102.pkl,1.0192394256591797e-05
3,LLAMBDA_1357MAX12560.pkl,5.638599395751953e-05
4,LLAMBDA_1357MAX12561.pkl,5.4776668548583984e-05
5,LLAMBDA_1357MAX12562.pkl,5.793571472167969e-05
6,LLAMBDA_1357MAX1580.pkl,1.4841556549072266e-05
7,LLAMBDA_1357MAX1581.pkl,1.6033649444580078e-05
8,LLAMBDA_1357MAX1582.pkl,1.5795230865478516e-05
9,LLAMBDA_1357MAX190.pkl,1.1682510375976562e-05
10,LLAMBDA_1357MAX191.pkl,1.1563301086425781e-05
11,LLAMBDA_1357MAX192.pkl,1.1086463928222656e-05
12,LLAMBDA_1357MAX25060.pkl,3.7670135498046875e-05
13,LLAMBDA_1357MAX25061.pkl,1.996755599975586e-05
14,LLAMBDA_1357MAX25062.pkl,5.1975250244140625e-05
15,LLAMBDA_1357MAX3150.pkl,2.294778823852539e-05
16,LLAMBDA_1357MAX3151.pkl,2.008676528930664e-05
17,LLAMBDA_1357MAX3152.pkl,2.4437904357910156e-05
18,LLAMBDA_1357MAX390.pkl,1.329183578491211e-05
19,LLAMBDA_1357MAX49990.pkl,4.2438507080078125e-05
20,LLAMBDA_1357MAX49991.pkl,3.445148468017578e-05
21,LLAMBDA_1357MAX49992.pkl,2.4378299713134766e-05
22,LLAMBDA_1357MAX6290.pkl,1.3649463653564453e-05
23,LLAMBDA_1357MAX6291.pkl,4.380941390991211e-05
24,LLAMBDA_1357MAX6292.pkl,2.9981136322021484e-05
25,LLAMBDA_1357MAX790.pkl,1.4960765838623047e-05
26,LLAMBDA_1357MAX791.pkl,1.5020370483398438e-05
27,LLAMBDA_1357MAX792.pkl,1.4066696166992188e-05
28,LLAMBDA_1893MAX100.pkl,1.0907649993896484e-05
29,LLAMBDA_1893MAX12560.pkl,7.659196853637695e-05
30,LLAMBDA_1893MAX12561.pkl,6.99758529663086e-05
31,LLAMBDA_1893MAX12562.pkl,8.589029312133789e-05
32,LLAMBDA_1893MAX25060.pkl,6.586313247680664e-05
33,LLAMBDA_1893MAX25061.pkl,3.743171691894531e-05
34,LLAMBDA_1893MAX25062.pkl,3.2067298889160156e-05
35,LLAMBDA_1893MAX3150.pkl,7.528066635131836e-05
36,LLAMBDA_1893MAX3151.pkl,4.976987838745117e-05
37,LLAMBDA_1893MAX3152.pkl,6.949901580810547e-05
38,LLAMBDA_1893MAX390.pkl,1.4483928680419922e-05
39,LLAMBDA_1893MAX391.pkl,1.1801719665527344e-05
40,LLAMBDA_1893MAX392.pkl,1.4066696166992188e-05
41,LLAMBDA_1893MAX49990.pkl,4.297494888305664e-05
42,LLAMBDA_1893MAX6290.pkl,0.00014412403106689453
43,LLAMBDA_1893MAX6291.pkl,0.00014001131057739258
44,LLAMBDA_1893MAX6292.pkl,8.589029312133789e-05
45,LLAMBDA_1893MAX790.pkl,1.7702579498291016e-05
46,LLAMBDA_1893MAX791.pkl,1.6033649444580078e-05
